loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71562,1.44834,0.489899,6.11637e-05,30.2222,0.0433182,0.00141196,-3.27065e-17,-1.52059e-16,0.00384848,199998,-3.36324,1.45009,0.443437,3.37864e-05,27.7635,0.0308514,0.00109513,0,0,0.00192424,99999,-23.134,1.22219,8.4219,5.04385e-05,63.6653,0.0602932,0.000836554,6.57115e-17,2.94471e-16,0.00384845,199996,-4.08024,1.23804,1.4854,0.000142985,11.8812,0.0435943,0.0032799,0,0,0.00192423,99998
2,0.592248,-1.42408,0.318654,2.03625e-05,4.23895,0.00938603,0.00216945,-1.03144e-17,1.56264e-17,0.00165904,49970,0.305845,-1.52374,0.164565,1.97145e-05,6.64505,0.0114581,0.00172058,0,0,0.000829519,24985,-4.23445,1.24238,1.51466,2.25783e-05,12.4983,0.0177417,0.00127261,-9.53298e-18,1.50889e-17,0.00165636,49876,-2.92648,1.25764,1.0468,1.63346e-05,9.13668,0.0128345,0.00127271,0,0,0.000828181,24938
3,-0.508222,1.55665,0.0349886,1.37204e-05,35.9629,0.0222154,0.000617607,2.08304e-18,7.2204e-17,0.00332084,185744,-0.337848,1.56374,0.0232585,1.03197e-05,47.9026,0.0222344,0.000464135,0,0,0.00166042,92872,-16.1365,1.30475,4.41298,2.86562e-05,59.2311,0.0427006,0.000671094,-1.9648e-17,1.28996e-16,0.00332084,185744,-7.26059,1.30827,1.98562,3.1844e-05,27.0527,0.0303907,0.00104782,0,0,0.00166042,92872
4,-0.950131,1.52187,0.0977985,1.9639e-05,19.4558,0.0195705,0.0010035,-1.11028e-19,-1.3507e-17,0.00384199,199828,-0.640063,1.54083,0.065881,1.45768e-05,21.3974,0.0176687,0.000825003,0,0,0.00192099,99914,-16.2289,1.31234,4.30572,4.20046e-05,61.4013,0.0525296,0.000799637,8.8655e-17,4.29393e-17,0.00384199,199828,-6.56463,1.31673,1.74168,5.19207e-05,25.3172,0.0374566,0.00138616,0,0,0.00192099,99914
5,-1.58007,1.4934,0.1712,1.38103e-05,20.4241,0.016845,0.000819843,1.56973e-17,9.51871e-18,0.00384848,200000,-0.822246,1.527,0.0890907,1.32691e-05,18.8133,0.015815,0.000839021,0,0,0.00192424,100000,-27.7834,1.31082,7.39915,2.35844e-05,104.461,0.0513608,0.000459191,1.07777e-16,6.94305e-17,0.00384845,199998,-6.4425,1.31601,1.71573,5.08546e-05,24.7742,0.0366771,0.00138655,0,0,0.00192423,99999
6,-1.91011,1.44419,0.308437,1.18488e-05,15.0712,0.0134706,0.000879604,-6.81129e-18,-6.45774e-17,0.00384845,199998,-1.02328,1.48785,0.165235,1.10586e-05,12.389,0.0117451,0.000941557,0,0,0.00192423,99999,-29.8026,1.30693,8.06014,1.87344e-05,110.32,0.0470916,0.000397829,-7.22159e-17,-2.88555e-16,0.00384845,199998,-6.3699,1.31234,1.72274,4.38255e-05,24.1333,0.0336372,0.00130289,0,0,0.00192423,99999
7,-1.53925,1.43011,0.307475,1.62393e-05,10.9579,0.0134718,0.00120543,-1.45618e-17,4.22268e-17,0.00384838,199996,-1.05233,1.46518,0.210211,1.18766e-05,10.0252,0.0109722,0.00108242,0,0,0.00192419,99998,-25.6372,1.30038,7.11689,2.05153e-05,92.4936,0.0452032,0.000453845,4.4712e-17,9.3639e-17,0.00384838,199996,-6.60864,1.3054,1.83456,3.97935e-05,24.3515,0.032257,0.00123364,0,0,0.00192419,99998
8,-1.5441,1.43718,0.292438,1.76079e-05,11.5725,0.0144021,0.00122259,-3.69602e-18,-3.70166e-17,0.00199113,119942,-1.04933,1.47099,0.198733,1.29551e-05,10.5724,0.0117613,0.0011015,0,0,0.000995566,59971,-22.2709,1.29221,6.38201,2.04709e-05,77.8741,0.0415277,0.000492945,5.88232e-18,-7.88212e-17,0.0019809,119392,-6.81457,1.29689,1.9528,3.34518e-05,24.2924,0.0296087,0.0011298,0,0,0.00099045,59696
9,-0.944987,1.4715,0.197422,2.81733e-05,9.58858,0.0165165,0.00170577,-1.32716e-17,1.72788e-17,0.00321381,182750,-0.67268,1.5052,0.140532,1.97895e-05,10.3357,0.0143323,0.00138077,0,0,0.00160691,91375,-11.3536,1.27656,3.46494,3.31144e-05,37.491,0.036816,0.000899454,-5.48229e-17,-2.78691e-16,0.00321381,182750,-5.75829,1.28212,1.75734,3.26457e-05,19.4372,0.0262748,0.00124247,0,0,0.00160691,91375
10,-0.400943,1.51162,0.16794,2.28492e-05,6.91171,0.0125885,0.00181509,2.54645e-17,-1.45577e-17,0.00359587,193300,-0.305979,1.53446,0.128164,1.49705e-05,8.53301,0.0113097,0.00132368,0,0,0.00179793,96650,-8.59627,1.30473,2.37219,3.42132e-05,31.5725,0.0340639,0.00100438,-3.21544e-17,-1.30725e-16,0.00359587,193300,-6.056,1.3079,1.67119,2.42816e-05,22.5439,0.0242276,0.00100223,0,0,0.00179793,96650
11,-0.519121,1.46709,0.245139,1.50505e-05,5.17864,0.00887436,0.00169595,-1.44394e-18,3.98621e-17,0.00384837,199996,-0.354865,1.51684,0.167573,1.10087e-05,6.71905,0.00861271,0.00127819,0,0,0.00192419,99998,-10.2928,1.32571,2.59721,3.72344e-05,41.176,0.0403611,0.000922533,1.15627e-16,2.72048e-17,0.00384837,199996,-6.82683,1.32833,1.72262,2.8069e-05,27.6355,0.0286896,0.000978367,0,0,0.00192419,99998
12,-1.11275,1.35534,0.425032,1.12112e-05,5.266,0.0078593,0.00142649,-9.83055e-19,5.38491e-17,0.00384845,199998,-0.684588,1.44564,0.261492,9.11137e-06,5.61646,0.00720822,0.00126402,0,0,0.00192423,99999,-15.0475,1.32165,3.8445,3.21498e-05,59.1562,0.0449994,0.000714449,-7.12002e-17,-2.19557e-16,0.00384852,200000,-8.32793,1.32386,2.12771,2.90445e-05,33.0657,0.0319586,0.000908817,0,0,0.00192426,100000
13,0.154294,-1.53538,0.223849,1.65944e-05,4.57364,0.00871709,0.00190367,-7.36292e-18,-1.42885e-17,0.00180676,62518,0.0933071,-1.55805,0.135348,1.37228e-05,7.45271,0.0101138,0.00135684,0,0,0.000903381,31259,-16.7144,1.31888,4.3164,2.02167e-05,64.9546,0.0374184,0.000540287,3.52626e-17,1.8386e-16,0.00180502,62444,-10.1438,1.32026,2.61958,1.66556e-05,39.6616,0.0265297,0.00062781,0,0,0.000902511,31222
14,-0.988345,1.54639,0.0487947,1.40394e-05,40.5132,0.0238562,0.0005885,-3.46769e-18,1.73108e-16,0.00317087,181508,-0.650653,1.55611,0.0321227,1.06629e-05,44.3098,0.0217387,0.000490502,0,0,0.00158544,90754,-22.2701,1.31568,5.81891,3.11711e-05,85.4038,0.0533214,0.000584589,-4.27761e-17,-3.12034e-16,0.00317087,181508,-7.5287,1.3192,1.96717,4.61029e-05,29.322,0.0379612,0.00121448,0,0,0.00158544,90754
