nan -nan -nan
-42.1741 21.6856 2.17568e-05
-8.0322 3.90929 2.96714e-05
-33.434 15.758 1.48743e-05
-51.3473 25.1591 1.54658e-05
-57.0584 28.3205 1.89478e-05
-70.2822 35.3323 1.27918e-05
-38.3523 18.6135 9.37863e-06
-37.355 18.722 2.02408e-05
-44.2565 22.0963 2.32697e-05
-68.8538 34.2878 1.20478e-05
-54.5526 26.4687 1.0562e-05
-45.8055 22.9084 1.98555e-05
-48.3469 24.1958 1.8016e-05
-63.2601 31.4386 1.26295e-05
-44.4116 21.3369 8.88164e-06
-43.7257 22.0551 2.58497e-05
-51.3952 25.9035 1.72908e-05
-63.8959 31.7548 1.1157e-05
-63.0099 30.4817 1.38895e-05
-46.6525 23.7119 1.96527e-05
-54.5948 26.5918 1.35104e-05
-76.8775 38.3086 9.46668e-06
-33.9216 16.5541 1.54027e-05
-38.1369 19.1621 2.32652e-05
-48.1144 23.6319 1.75511e-05
-68.9324 34.2817 1.44228e-05
-49.8236 24.6933 9.54972e-06
-38.8674 19.4816 2.42096e-05
-51.9419 25.7251 1.41258e-05
-46.715 23.12 1.65562e-05
-44.9464 22.3429 1.90849e-05
-53.0807 26.7289 2.08532e-05
-54.7004 27.2076 9.91483e-06
-43.1219 21.5649 1.72219e-05
-54.9664 27.0032 1.72539e-05
-52.0129 26.0427 1.54594e-05
-47.2665 23.5654 2.04958e-05
-55.9929 28.1072 1.56621e-05
-61.3915 30.1669 1.66997e-05
-70.455 35.5326 1.25903e-05
-32.4279 15.5706 9.10819e-06
-39.0043 19.3743 1.90795e-05
-48.1315 23.8572 2.32988e-05
-68.5482 34.4833 1.6435e-05
-58.5727 29.1465 1.1146e-05
-51.188 25.3609 1.07304e-05
-48.9565 24.1623 2.51715e-05
-58.9584 29.7634 1.59371e-05
-42.3053 20.5287 9.91105e-06
