loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.83728,0.419515,10.4301,2.16391e-05,100000,-6.29342,3.3241,12.216,1.94272e-05,100000
2,-0.974422,0.201317,9.68374,3.01672e-05,99960,-7.10872,2.64493,19.484,4.2339e-05,99960
3,-1.55707,0.257512,13.2983,3.28988e-05,98414,-9.33617,3.8348,22.9905,3.85123e-05,98414
4,-2.27977,0.372619,16.6319,2.09779e-05,99874,-8.90442,3.69336,21.7386,3.51736e-05,99874
5,-2.81917,0.396443,22.57,2.2959e-05,99930,-12.0701,4.97134,29.5067,3.29303e-05,99930
6,-2.50258,0.378496,19.1889,2.45449e-05,99916,-12.0795,5.31426,27.6454,2.44748e-05,99916
7,-2.81117,0.470821,18.9089,1.87921e-05,99900,-11.0282,4.94486,24.7977,2.00243e-05,99900
8,-3.53856,0.623453,21.688,1.37641e-05,99896,-12.4461,5.27348,29.5643,1.82942e-05,99898
9,-4.05518,0.727684,23.9726,1.16712e-05,99892,-13.9812,5.73882,34.2361,1.74812e-05,99892
10,-4.16357,0.755757,24.2609,1.11479e-05,99896,-14.9722,6.11018,36.8511,1.65178e-05,99896
11,-4.11141,0.751921,23.8106,1.11207e-05,99898,-14.8893,6.06148,36.7387,1.66366e-05,99898
12,-4.04157,0.741619,23.3736,1.12157e-05,99900,-14.7923,6.00806,36.5864,1.68272e-05,99898
13,-3.99718,0.733944,23.1318,1.13024e-05,99898,-14.7966,6.00246,36.6414,1.69035e-05,99898
14,-3.97787,0.730084,23.0432,1.13515e-05,99900,-14.8097,6.00679,36.6796,1.69334e-05,99900
15,-3.97191,0.728624,23.0243,1.13716e-05,99900,-14.8251,6.01469,36.7076,1.69283e-05,99900
16,-3.97125,0.728267,23.0284,1.13774e-05,99900,-14.8382,6.02173,36.7292,1.69126e-05,99902
17,-3.97212,0.728293,23.0371,1.13787e-05,99902,-14.8416,6.02425,36.7304,1.69056e-05,99902
18,-3.97257,0.728334,23.0406,1.13785e-05,99902,-14.8449,6.02607,36.7357,1.68989e-05,99902
19,-3.97302,0.728394,23.0436,1.13786e-05,99904,-14.8426,6.02532,36.7286,1.69008e-05,99904
20,-3.9727,0.728367,23.0411,1.13779e-05,99902,-14.8464,6.02676,36.7386,1.68949e-05,99902
21,-3.97295,0.728405,23.0426,1.13774e-05,99902,-14.8464,6.02672,36.7391,1.68954e-05,99902
22,-3.97301,0.728411,23.043,1.13773e-05,99902,-14.8464,6.02669,36.739,1.68956e-05,99902
23,-3.97303,0.728412,23.0432,1.13774e-05,99902,-14.8465,6.02676,36.7395,1.68956e-05,99902
24,-3.97304,0.72841,23.0434,1.13775e-05,99902,-14.8464,6.02672,36.7389,1.68957e-05,99902
