loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71562,1.44834,0.489902,6.11631e-05,30.222,0.0433179,0.00141196,-4.91497e-17,-2.08236e-16,0.00384845,199996,-3.36324,1.45009,0.443441,3.3786e-05,27.7634,0.0308512,0.00109513,0,0,0.00192423,99998,-23.134,1.22219,8.42188,5.04386e-05,63.6652,0.0602932,0.000836555,1.34565e-16,-1.91895e-16,0.00384845,199996,-4.08024,1.23804,1.4854,0.000142985,11.8812,0.0435943,0.0032799,0,0,0.00192423,99998
2,-0.531015,1.33461,0.497637,1.96531e-05,2.57613,0.00728976,0.00269599,-4.1272e-18,-2.06662e-18,0.00190075,58480,-0.264886,1.50597,0.248233,1.96992e-05,4.31113,0.00923389,0.00213336,0,0,0.000950373,29240,-5.86748,1.17363,2.52171,1.9758e-05,14.0489,0.0180612,0.00109395,-2.33129e-17,8.30555e-17,0.00189939,58424,-4.01633,1.1832,1.72613,1.44322e-05,9.92445,0.0129188,0.00111715,0,0,0.000949697,29212
3,-0.278931,1.53153,0.148926,2.87976e-05,7.23718,0.0144474,0.00199326,2.54873e-18,-3.75755e-17,0.00384606,199936,-0.157049,1.55786,0.0838468,2.55743e-05,12.2207,0.0176801,0.0014465,0,0,0.00192303,99968,-8.18864,1.28569,2.43295,3.74853e-05,27.9717,0.0337416,0.00111095,-1.00455e-16,-1.39974e-16,0.00384603,199934,-5.83939,1.28918,1.73496,2.62835e-05,20.2302,0.0240025,0.00109503,0,0,0.00192302,99967
4,-0.201933,1.54766,0.117743,2.15132e-05,8.83937,0.0137936,0.00155965,1.08267e-17,-4.52473e-17,0.00384732,199968,-0.116782,1.56292,0.068088,1.8601e-05,14.8872,0.0166413,0.00111776,0,0,0.00192366,99984,-11.4829,1.30896,3.09911,3.16196e-05,42.8697,0.038116,0.000829563,7.32226e-17,4.35883e-17,0.00384732,199968,-6.7314,1.31227,1.81672,2.69693e-05,25.4919,0.0271202,0.000994435,0,0,0.00192366,99984
5,-0.211844,1.55187,0.0926246,1.81832e-05,11.2808,0.0143246,0.00126937,-1.50452e-17,1.82134e-17,0.00384784,199982,-0.135805,1.56285,0.0593795,1.41817e-05,17.1514,0.0155965,0.000909288,0,0,0.00192392,99991,-16.9703,1.32025,4.35728,2.40483e-05,66.3238,0.041224,0.000583356,-3.79493e-17,-3.37277e-16,0.00384784,199982,-7.33219,1.32361,1.88261,2.78298e-05,29.0879,0.0293428,0.000948436,0,0,0.00192392,99991
6,-0.192059,1.55131,0.10416,1.3932e-05,9.95474,0.0117789,0.0011828,-1.55513e-17,4.42942e-18,0.00384792,199984,-0.121819,1.56283,0.0660679,1.0982e-05,15.3606,0.0129885,0.000845519,0,0,0.00192396,99992,-20.5703,1.32924,5.07921,1.97826e-05,83.5046,0.0418592,0.000472599,-4.76985e-17,4.79791e-16,0.00384792,199984,-7.61472,1.33245,1.88023,2.67195e-05,31.3706,0.0297933,0.00089683,0,0,0.00192396,99992
7,-0.330846,1.52271,0.158092,1.10819e-05,7.01779,0.00882875,0.0012552,3.20314e-19,-2.11024e-18,0.00384762,199976,-0.19978,1.5523,0.0954607,9.17634e-06,10.8936,0.00999987,0.000917646,0,0,0.00192381,99988,-24.8685,1.33483,5.98879,1.85029e-05,103.434,0.044994,0.00041123,7.27818e-18,1.81953e-16,0.00384762,199976,-8.12972,1.33769,1.95778,2.83003e-05,34.2695,0.0320072,0.000884185,0,0,0.00192381,99988
8,-0.664409,1.4635,0.227911,1.01961e-05,6.32456,0.00807563,0.00126258,-8.9017e-18,-1.87154e-17,0.00384666,199948,-0.393702,1.52416,0.135054,8.60329e-06,8.55215,0.0085869,0.00100191,0,0,0.00192333,99974,-27.6437,1.33357,6.69189,1.97723e-05,114.343,0.0489181,0.000404192,1.70355e-16,-1.06914e-16,0.00384666,199948,-8.3453,1.33635,2.02021,3.27481e-05,34.9686,0.0347912,0.000941275,0,0,0.00192333,99974
9,-0.862966,1.44449,0.251481,1.09902e-05,6.93775,0.00880066,0.00124879,7.07354e-18,5.98452e-17,0.00383247,199566,-0.551325,1.50193,0.160668,8.60108e-06,8.11587,0.0083745,0.00102706,0,0,0.00191623,99783,-33.3032,1.32807,8.25328,1.68405e-05,134.504,0.0490305,0.00034347,1.93482e-17,-1.33468e-16,0.00383247,199566,-8.25764,1.33105,2.04643,3.39591e-05,33.8094,0.034881,0.000973571,0,0,0.00191623,99783
10,-1.03666,1.45766,0.224746,1.30306e-05,9.23112,0.0110373,0.0011806,4.14524e-18,-2.6801e-17,0.00344576,188862,-0.735243,1.49405,0.159401,9.18626e-06,9.6648,0.00945001,0.00097209,0,0,0.00172288,94431,-32.6228,1.32234,8.28356,1.70563e-05,128.598,0.0483172,0.000353006,8.56289e-17,1.00643e-16,0.00344576,188862,-7.81717,1.32575,1.98493,3.55897e-05,31.2898,0.0343972,0.00103467,0,0,0.00172288,94431
11,-2.23648,1.44443,0.339861,1.16166e-05,17.6597,0.0144377,0.000804605,-2.25883e-17,9.67313e-17,0.00271581,167782,-1.49822,1.46555,0.227671,8.67046e-06,14.2515,0.0111776,0.000775698,0,0,0.0013579,83891,-27.6471,1.3129,7.3013,2.28962e-05,104.826,0.0506663,0.000451901,-3.93079e-17,-2.22834e-16,0.00271567,167778,-7.10346,1.3171,1.87594,4.45565e-05,27.4311,0.0361151,0.00123374,0,0,0.00135784,83889
12,-1.2074,1.47435,0.195706,2.27367e-05,12.5587,0.0169764,0.00133931,-9.01794e-18,7.6532e-17,0.00302058,176278,-0.948852,1.49365,0.153799,1.44655e-05,12.3559,0.0134088,0.00107881,0,0,0.00151029,88139,-17.4815,1.2995,4.8773,2.99049e-05,62.8632,0.0450037,0.000664499,-1.50305e-17,-4.67055e-17,0.00301861,176208,-6.33732,1.30458,1.7681,4.12463e-05,23.2802,0.032117,0.00128425,0,0,0.00150931,88104
13,-1.10942,1.47733,0.187185,3.11147e-05,11.9177,0.0193404,0.00160879,-5.27959e-18,-1.05476e-16,0.00349246,190446,-0.943675,1.49093,0.159219,1.829e-05,11.8737,0.0147835,0.00123719,0,0,0.00174623,95223,-13.5814,1.28999,3.93689,3.89486e-05,47.107,0.0445794,0.00087369,9.89315e-17,-5.19258e-17,0.00349246,190446,-5.87681,1.29564,1.70353,4.50053e-05,20.8607,0.0318357,0.00141367,0,0,0.00174623,95223
14,-0.208903,1.53756,0.162114,2.31441e-05,6.4377,0.0122129,0.00189505,-3.41124e-18,9.21011e-18,0.00261145,89620,-0.149325,1.55365,0.115877,1.61895e-05,8.82228,0.0119528,0.00135445,0,0,0.00130572,44810,-10.2946,1.30196,2.86105,3.00371e-05,37.3911,0.0347608,0.000864108,8.5532e-17,3.58815e-16,0.00260942,89522,-6.70335,1.30496,1.86298,2.30645e-05,24.6566,0.0247142,0.00093325,0,0,0.00130471,44761
15,-0.256998,1.54165,0.119407,2.22347e-05,8.92787,0.0140952,0.00157747,-1.42652e-17,4.06638e-18,0.00377634,198084,-0.164431,1.5585,0.0764018,1.73752e-05,13.4426,0.0152841,0.00113682,0,0,0.00188817,99042,-14.1241,1.31555,3.70281,3.30158e-05,54.1453,0.0436959,0.000755581,8.22278e-18,1.33999e-16,0.00377634,198084,-8.18895,1.31779,2.14684,2.84724e-05,31.7019,0.0310308,0.000917551,0,0,0.00188817,99042
