loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.65529,1.45011,0.475966,6.91697e-05,30.1726,0.0460184,0.00150309,8.49865e-17,4.38406e-16,0.00384845,199994,-3.31459,1.45186,0.431603,3.81401e-05,27.7722,0.0327771,0.00116362,0,0,0.00192423,99997,-22.8019,1.22084,8.33632,5.60647e-05,62.489,0.063008,0.000889803,-5.37092e-17,-5.77649e-16,0.00384845,199994,-4.04536,1.23698,1.47897,0.000158003,11.7412,0.0455721,0.00346711,0,0,0.00192423,99997
2,1.76463,-1.44192,0.300535,1.31013e-05,13.6886,0.0135032,0.000970242,-6.73921e-18,-2.16118e-17,0.000598833,17368,0.892515,-1.49488,0.152012,1.29508e-05,11.8187,0.0124073,0.00104381,0,0,0.000299416,8684,-5.67731,1.30186,1.60979,1.49147e-05,20.6436,0.0181998,0.0008195,8.90942e-18,4.91763e-17,0.000595503,17258,-3.51479,1.31298,0.996606,1.20455e-05,13.3992,0.0131364,0.000916959,0,0,0.000297752,8629
3,-0.964853,1.54505,0.0515009,1.2538e-05,37.4933,0.0216888,0.000578087,-9.64534e-19,3.43006e-17,0.00331753,185674,-0.630276,1.55561,0.0336423,9.59677e-06,41.5325,0.0199667,0.000480638,0,0,0.00165877,92837,-19.1252,1.2898,5.53403,1.66004e-05,66.2761,0.0345231,0.000480849,1.38127e-17,1.97341e-16,0.00331753,185674,-5.08912,1.29836,1.47258,3.11928e-05,18.2667,0.0247818,0.0012587,0,0,0.00165877,92837
4,-1.26097,1.47243,0.201479,1.66666e-05,12.8551,0.014708,0.00113317,1.31862e-17,2.73744e-17,0.00356819,192558,-0.903726,1.49864,0.144399,1.16275e-05,12.5812,0.0121263,0.000958863,0,0,0.0017841,96279,-16.1635,1.30863,4.35277,3.24567e-05,60.2511,0.0457857,0.000708884,-1.36802e-16,3.80493e-16,0.00356819,192558,-6.3358,1.31346,1.7062,4.14005e-05,24.1134,0.0326702,0.00126723,0,0,0.0017841,96279
5,-1.68973,1.43865,0.301439,1.31898e-05,12.7893,0.0131015,0.00100674,-1.54245e-17,8.69687e-17,0.00375524,197542,-0.971163,1.48374,0.17325,1.14745e-05,11.2159,0.0113873,0.00100766,0,0,0.00187762,98771,-28.2594,1.30264,7.77407,1.66833e-05,102.854,0.0429591,0.000388354,-2.00843e-18,-1.30429e-16,0.00375524,197542,-6.20383,1.30839,1.70666,3.79974e-05,23.1374,0.0306998,0.00123771,0,0,0.00187762,98771
6,-1.90993,1.40761,0.397829,1.09241e-05,11.683,0.0114482,0.00095422,2.19882e-17,4.43298e-17,0.0038081,198932,-1.14501,1.45194,0.2385,9.11097e-06,9.68996,0.00946207,0.000962894,0,0,0.00190405,99466,-34.2142,1.30225,9.42311,1.23112e-05,124.334,0.0405785,0.000303392,-7.14561e-17,3.52633e-16,0.00380815,198934,-6.18669,1.30813,1.70391,3.40421e-05,23.0501,0.0290052,0.00117366,0,0,0.00190407,99467
7,-1.68456,1.40623,0.374817,1.32105e-05,10.2389,0.011788,0.00112067,-2.01896e-18,-4.10961e-18,0.00365695,194706,-1.21921,1.43701,0.271274,9.12614e-06,9.16592,0.00922751,0.000989014,0,0,0.00182847,97353,-29.7882,1.30316,8.17691,1.4701e-05,108.639,0.0414389,0.000354762,-7.73512e-17,1.42594e-16,0.00365698,194708,-6.68354,1.30811,1.83464,3.27616e-05,24.893,0.0295705,0.00110792,0,0,0.00182849,97354
8,-1.15868,1.44693,0.248916,2.52098e-05,9.41097,0.0155205,0.00162429,6.4181e-21,3.71592e-18,0.000320192,12248,-0.789707,1.48756,0.169663,1.84927e-05,9.56978,0.0133488,0.00138535,0,0,0.000160096,6124,-14.8172,1.30247,4.09136,3.95012e-05,53.9059,0.0478569,0.000825403,-1.12694e-17,7.35185e-18,0.00031605,12052,-6.74939,1.30653,1.86367,4.33576e-05,24.9799,0.0340918,0.00127179,0,0,0.000158025,6026
9,-1.10419,1.53055,0.0808333,1.49335e-05,27.4546,0.0202647,0.000736924,4.3893e-18,-5.59508e-17,0.00345281,189430,-0.648039,1.54912,0.0474405,1.27225e-05,29.9313,0.0195187,0.000651811,0,0,0.00172641,94715,-22.1615,1.28875,6.43376,1.5205e-05,76.4921,0.0355064,0.000428232,-8.73401e-17,-4.55385e-17,0.00345285,189432,-4.74959,1.29883,1.37887,3.54735e-05,17.0854,0.0255551,0.00138812,0,0,0.00172642,94716
10,-1.58941,1.43808,0.294147,1.52367e-05,11.988,0.0136342,0.00111754,2.02978e-17,1.87553e-18,0.00355211,192132,-1.20487,1.46076,0.222983,1.00499e-05,10.9951,0.0105753,0.00095032,0,0,0.00177605,96066,-14.9983,1.3049,4.10164,3.34744e-05,55.0877,0.0445057,0.000752137,1.23929e-16,-2.89174e-16,0.00355212,192134,-6.18544,1.30991,1.69155,4.05844e-05,23.2093,0.031764,0.00127768,0,0,0.00177606,96067
11,-1.9234,1.38346,0.458895,1.09113e-05,10.2408,0.0107573,0.00101432,2.45113e-17,-1.12656e-16,0.00372664,196788,-1.29299,1.42067,0.308491,8.11552e-06,8.66095,0.00847793,0.000957252,0,0,0.00186332,98394,-22.9098,1.29037,6.6101,1.54991e-05,79.554,0.0365415,0.000424149,5.92696e-17,-2.04564e-16,0.00372664,196788,-6.0882,1.29639,1.75661,2.91616e-05,21.6703,0.0261136,0.00111672,0,0,0.00186332,98394
12,-2.09475,1.35215,0.565531,9.39597e-06,9.52728,0.00968976,0.00096968,-3.63458e-17,2.90362e-17,0.00381542,199126,-1.24951,1.40494,0.337341,7.87575e-06,7.59257,0.00783865,0.00100473,0,0,0.00190771,99563,-28.5173,1.30154,7.87846,1.36111e-05,103.35,0.0389078,0.000349829,-4.87509e-18,3.76674e-17,0.00381542,199126,-6.95618,1.3061,1.92178,2.78995e-05,25.6993,0.0277417,0.00100569,0,0,0.00190771,99563
13,-0.641688,1.46716,0.223164,1.56313e-05,6.32614,0.00999645,0.00156369,7.69938e-18,1.80999e-17,0.00154275,107910,-0.510663,1.49754,0.177603,9.82053e-06,7.09884,0.00837152,0.00117309,0,0,0.000771377,53955,-22.8294,1.3104,6.09376,1.34731e-05,85.6909,0.0351635,0.000383154,2.8505e-17,-7.92846e-17,0.00152644,107182,-7.63138,1.31389,2.03701,2.01523e-05,29.0808,0.025029,0.000805161,0,0,0.00076322,53591
14,-0.560974,1.51186,0.1368,1.9988e-05,9.61034,0.0138836,0.00143969,1.91542e-18,1.2415e-18,0.00314189,131046,-0.364698,1.542,0.0889349,1.53723e-05,12.7397,0.014,0.00109802,0,0,0.00157095,65523,-10.4906,1.30513,2.87858,2.94375e-05,38.5788,0.0349241,0.0008429,-1.4298e-17,9.14219e-17,0.0031408,130950,-5.25443,1.31134,1.4418,2.93865e-05,19.8426,0.0249818,0.00117632,0,0,0.0015704,65475
15,-0.892912,1.4474,0.245068,1.36452e-05,7.33385,0.0100788,0.00135385,1.73393e-17,-3.69686e-17,0.00364512,194628,-0.569965,1.50266,0.15643,1.06884e-05,8.46935,0.00953624,0.00112082,0,0,0.00182256,97314,-10.942,1.31468,2.8877,3.1869e-05,41.8078,0.0377318,0.000844619,-1.54684e-17,-2.67576e-17,0.00364512,194628,-5.94624,1.31915,1.56927,2.93221e-05,23.1686,0.0269106,0.00108961,0,0,0.00182256,97314
16,-1.7138,1.42889,0.326001,1.75532e-05,12.0771,0.0147068,0.00119355,-2.84469e-17,7.7552e-18,0.00378451,198316,-1.31218,1.45005,0.249603,1.14628e-05,10.9045,0.0112615,0.00101787,0,0,0.00189225,99158,-14.4938,1.31239,3.84795,4.45851e-05,54.8525,0.0511508,0.00087164,5.22237e-17,7.49079e-17,0.00378451,198316,-6.5882,1.31653,1.7491,4.90414e-05,25.387,0.0364552,0.00134525,0,0,0.00189225,99158
17,-1.6028,1.40641,0.365601,2.02093e-05,9.76193,0.0142357,0.00141962,-1.84953e-17,-1.61208e-17,0.00352031,182976,-1.2597,1.4301,0.287338,1.28567e-05,9.00279,0.0108646,0.00118336,0,0,0.00176015,91488,-21.3114,1.28877,6.18752,2.43063e-05,73.5637,0.0440244,0.000552109,1.5814e-17,1.6476e-16,0.00351324,182582,-6.96237,1.29324,2.02144,3.71999e-05,24.4749,0.0313729,0.00118574,0,0,0.00175662,91291
18,-0.768623,1.49151,0.162729,3.11894e-05,9.77567,0.0175158,0.00178065,-7.78535e-18,-2.54951e-17,0.00349923,190656,-0.561794,1.51963,0.11894,2.1336e-05,11.0612,0.0153823,0.00138705,0,0,0.00174961,95328,-12.4265,1.28245,3.70785,3.16108e-05,41.9162,0.0379674,0.000832579,1.01998e-17,1.37081e-16,0.00349923,190656,-5.64078,1.28854,1.68311,3.48189e-05,19.4987,0.0271271,0.00128355,0,0,0.00174961,95328
19,-0.569587,1.51106,0.137563,2.62302e-05,9.62783,0.0159196,0.00164767,-8.97617e-18,3.62812e-18,0.00355153,156890,-0.479747,1.52524,0.115867,1.55709e-05,10.617,0.0128708,0.00120979,0,0,0.00177576,78445,-8.43286,1.30891,2.28995,4.4711e-05,31.491,0.0388466,0.00115096,-3.40708e-17,2.20065e-16,0.00355128,156832,-5.39175,1.31352,1.46413,3.49648e-05,20.5384,0.0277078,0.00126191,0,0,0.00177564,78416
20,-0.707087,1.49594,0.157357,2.00641e-05,9.53227,0.013868,0.00144679,1.35867e-20,-1.87297e-17,0.00302697,175432,-0.566184,1.51633,0.126003,1.25285e-05,10.4804,0.0114756,0.00109174,0,0,0.00151348,87716,-9.42472,1.32328,2.40681,5.14616e-05,37.3213,0.0452015,0.00113849,2.01431e-17,-1.07844e-16,0.00302603,175400,-6.17779,1.32654,1.57764,3.92542e-05,24.8252,0.0321704,0.0012202,0,0,0.00151301,87700
21,-1.38932,1.48474,0.181269,2.70782e-05,16.165,0.0209991,0.00128949,-8.1622e-19,1.47236e-17,0.00165824,111674,-0.986334,1.50627,0.128692,1.90702e-05,15.3301,0.0171337,0.00111302,0,0,0.000829121,55837,-9.03992,1.30407,2.4981,7.44291e-05,33.1132,0.0514628,0.00144627,-4.92587e-17,2.2374e-17,0.00165088,111188,-5.37743,1.30921,1.48601,6.25595e-05,20.1322,0.0367359,0.00170295,0,0,0.000825442,55594
22,-0.890792,1.49588,0.150067,2.50301e-05,11.9514,0.0173441,0.00144315,8.01953e-18,-3.52386e-17,0.00352717,191442,-0.557474,1.53067,0.0939153,1.99973e-05,13.957,0.0167197,0.00119603,0,0,0.00176358,95721,-11.2375,1.28588,3.31525,3.62838e-05,38.3925,0.0388902,0.000932981,-4.51031e-17,1.73704e-16,0.00352717,191442,-5.24164,1.29275,1.54637,3.88938e-05,18.4139,0.0278276,0.00139767,0,0,0.00176358,95721
23,-0.871097,1.4762,0.189377,1.90572e-05,9.28736,0.0133629,0.00142613,-1.35984e-17,1.01554e-17,0.00374846,197362,-0.601091,1.51263,0.130674,1.38092e-05,10.4176,0.0120142,0.0011494,0,0,0.00187423,98681,-11.4165,1.30104,3.17904,3.16363e-05,41.313,0.037508,0.000843453,2.53187e-17,-3.63852e-16,0.00374846,197362,-5.56368,1.30677,1.54927,3.24582e-05,20.6256,0.0268009,0.00121108,0,0,0.00187423,98681
24,-1.22574,1.45305,0.239327,2.10143e-05,10.4562,0.0149257,0.00140793,-1.87643e-18,-2.34094e-17,0.00376582,185478,-0.890284,1.48387,0.173827,1.44662e-05,10.3126,0.01226,0.00117996,0,0,0.00188291,92739,-12.9408,1.31268,3.43549,4.70151e-05,49.0362,0.0496595,0.000946749,8.01434e-17,6.07652e-16,0.00376552,185286,-6.48684,1.3167,1.72212,4.68953e-05,25.0152,0.035385,0.00132529,0,0,0.00188276,92643
25,-1.72569,1.46068,0.253838,1.69831e-05,15.6715,0.0164131,0.00103473,6.37938e-18,4.75069e-17,0.00155259,115114,-1.22216,1.48246,0.179772,1.199e-05,13.8714,0.0129466,0.000926107,0,0,0.000776297,57557,-19.8144,1.30109,5.49052,2.65902e-05,71.689,0.0452976,0.00058701,-7.8625e-17,1.94321e-16,0.00153746,113942,-6.55655,1.30594,1.81681,4.01789e-05,24.2119,0.032315,0.00124335,0,0,0.00076873,56971
26,-0.650648,1.50891,0.134347,2.58712e-05,10.5945,0.0165872,0.0015597,-8.98948e-18,-6.462e-17,0.00346092,189650,-0.528628,1.5254,0.109152,1.59212e-05,11.7217,0.013675,0.00116425,0,0,0.00173046,94825,-9.9966,1.28266,2.99006,2.76519e-05,33.7558,0.0318644,0.000867799,-3.24308e-17,7.23604e-17,0.00346092,189650,-4.68683,1.29124,1.40187,2.9489e-05,16.3827,0.0228645,0.00128973,0,0,0.00173046,94825
27,-1.52138,1.44384,0.27619,2.34082e-05,12.0012,0.0168959,0.00138544,-4.76007e-18,-9.82776e-17,0.0036118,193738,-1.32623,1.45471,0.240763,1.34264e-05,11.459,0.0124872,0.00107522,0,0,0.0018059,96869,-14.6904,1.29566,4.1648,3.68441e-05,52.0573,0.045506,0.000809654,-3.20438e-17,1.94128e-16,0.0036118,193738,-6.03239,1.30107,1.71021,4.48621e-05,21.8626,0.0324903,0.00138078,0,0,0.0018059,96869
28,-1.7045,1.42097,0.343256,2.26059e-05,11.3773,0.0162176,0.00139391,1.19884e-18,-1.26159e-16,0.00375466,196938,-1.44114,1.43451,0.290224,1.33683e-05,10.6018,0.0120154,0.00111259,0,0,0.00187733,98469,-26.8667,1.2805,8.03634,1.79426e-05,89.9439,0.0419266,0.000427953,-7.89894e-17,-4.87017e-16,0.00375427,196910,-6.21496,1.28655,1.85901,3.87822e-05,21.3155,0.0299513,0.00129484,0,0,0.00187714,98455
29,-2.07663,1.3585,0.545834,1.66284e-05,9.73263,0.0130108,0.00127805,1.11385e-17,-1.71632e-17,0.00360276,184614,-0.960411,1.4432,0.252442,1.7977e-05,7.61518,0.0117946,0.00152417,0,0,0.00180138,92307,-22.3008,1.27932,6.70312,2.24543e-05,74.3423,0.0426561,0.000526404,-4.41847e-17,-2.24234e-17,0.00358923,183778,-8.31404,1.28243,2.49901,3.01147e-05,28.0604,0.0303199,0.000993229,0,0,0.00179462,91889
30,-1.58461,1.49918,0.158623,3.69715e-05,22.1342,0.0286799,0.00128911,5.37759e-18,-1.96257e-16,0.00301675,176990,-0.980536,1.52165,0.0981542,2.98743e-05,19.9834,0.0244628,0.00122121,0,0,0.00150838,88495,-18.5351,1.28917,5.37692,4.55349e-05,64.0794,0.0562319,0.00080977,9.66116e-17,2.93496e-16,0.00301676,176992,-5.52595,1.29633,1.60305,7.63661e-05,19.6726,0.0402634,0.00189666,0,0,0.00150838,88496
31,-1.20283,1.48928,0.165436,2.86726e-05,14.7899,0.0206611,0.00138775,3.91995e-18,-1.14938e-17,0.00324778,183324,-0.887638,1.50998,0.122084,1.9427e-05,14.6448,0.0168984,0.00114964,0,0,0.00162389,91662,-11.1859,1.28125,3.35699,3.87795e-05,37.5709,0.0398274,0.000973691,-1.16008e-16,-6.70828e-17,0.00324778,183324,-4.82918,1.28972,1.44928,4.49131e-05,16.7814,0.0285714,0.00157196,0,0,0.00162389,91662
32,-1.89789,1.45592,0.278767,2.25139e-05,16.5084,0.0194061,0.00116014,8.90114e-18,-5.72509e-17,0.00252837,160272,-1.57432,1.46606,0.23124,1.35707e-05,15.0427,0.0143661,0.000944628,0,0,0.00126418,80136,-14.0315,1.28249,4.1807,3.50247e-05,47.3323,0.0424682,0.000824728,-2.49127e-18,1.25192e-16,0.002524,160130,-5.3394,1.2898,1.59088,4.60209e-05,18.5489,0.0304066,0.00151352,0,0,0.001262,80065
33,-2.35406,1.44031,0.363582,2.5543e-05,17.9921,0.0216209,0.0011814,-1.01643e-17,-5.17909e-17,0.0023379,90506,-1.30899,1.47304,0.20217,2.29678e-05,13.4216,0.0176413,0.00130194,0,0,0.00116895,45253,-12.5361,1.26785,3.94112,4.4609e-05,40.129,0.0443273,0.00100635,-1.83084e-17,-4.53214e-17,0.0023302,90062,-4.67887,1.2777,1.47096,5.97589e-05,15.5626,0.0318494,0.0018763,0,0,0.0011651,45031
34,-1.11063,1.44263,0.255827,3.03064e-05,8.73053,0.0163991,0.00184806,-9.55749e-18,-7.79204e-19,0.0035284,191482,-0.69999,1.49431,0.161236,2.40433e-05,9.24104,0.0149491,0.00160835,0,0,0.0017642,95741,-7.70253,1.25473,2.5573,4.36982e-05,23.5909,0.0337781,0.00129369,2.13143e-18,-2.61909e-16,0.0035284,191482,-4.88588,1.26119,1.62215,3.44443e-05,15.3326,0.0241238,0.00142782,0,0,0.0017642,95741
35,-0.274417,1.53203,0.149053,1.96139e-05,7.21422,0.0119041,0.00164766,5.08429e-19,-1.01289e-17,0.0037557,197554,-0.172438,1.55498,0.0936649,1.56069e-05,10.9938,0.0131004,0.00119132,0,0,0.00187785,98777,-9.75356,1.3077,2.65279,2.82643e-05,36.2381,0.0331436,0.000852783,2.44237e-17,-3.17574e-16,0.0037557,197554,-5.84228,1.31199,1.58899,2.35932e-05,22.1097,0.0236248,0.000998663,0,0,0.00187785,98777
36,-0.761301,1.50046,0.144947,3.34996e-05,10.8976,0.0191536,0.00174899,1.48108e-17,3.33052e-17,0.00338252,182276,-0.649332,1.51396,0.12363,1.96378e-05,11.4991,0.0150513,0.00130472,0,0,0.00169126,91138,-13.9112,1.31346,3.67866,5.05259e-05,52.8782,0.0534481,0.000945327,-6.42898e-18,1.05716e-16,0.00337295,181910,-6.73214,1.31728,1.78024,5.22033e-05,26.0199,0.0380707,0.00137122,0,0,0.00168648,90955
37,-1.3979,1.49348,0.163211,4.31437e-05,18.1,0.0280281,0.0015393,3.28931e-17,-4.9156e-17,0.00347719,190074,-1.13614,1.50488,0.132649,2.65421e-05,17.2698,0.0214562,0.00123704,0,0,0.00173859,95037,-11.4002,1.27945,3.44281,6.13829e-05,38.0397,0.0504464,0.0012168,8.48251e-18,-9.56909e-17,0.00347719,190074,-4.8612,1.2879,1.46807,7.19768e-05,16.778,0.0361848,0.00198915,0,0,0.00173859,95037
38,-1.56195,1.4668,0.22883,4.19581e-05,15.0316,0.0252495,0.00166174,4.9435e-17,1.69961e-16,0.00370695,196262,-1.38296,1.47443,0.202609,2.36942e-05,14.3754,0.0185413,0.00127791,0,0,0.00185347,98131,-7.98597,1.26579,2.55008,7.113e-05,25.4015,0.0445606,0.00159625,-1.74176e-17,5.13517e-16,0.00370697,196264,-4.35544,1.27505,1.39078,6.52103e-05,14.3588,0.0319824,0.00203894,0,0,0.00185349,98132
39,-0.815072,1.46201,0.219194,2.41558e-05,7.59301,0.0136223,0.00177326,-2.03469e-17,-2.3958e-17,0.00355904,161404,-0.624418,1.49439,0.167924,1.57654e-05,8.27696,0.0114562,0.00137615,0,0,0.00177952,80702,-7.15909,1.30575,1.97844,5.78302e-05,26.4109,0.0404935,0.00142814,5.73771e-17,3.62e-16,0.00355065,160066,-5.1903,1.30977,1.43436,3.98835e-05,19.4785,0.0288473,0.00138257,0,0,0.00177532,80033
40,-0.950221,1.51108,0.119254,2.97528e-05,15.9569,0.0218278,0.00136307,-2.59311e-18,3.05383e-17,0.00309953,179308,-0.726812,1.52729,0.0912166,1.94488e-05,16.7541,0.0180683,0.0010764,0,0,0.00154977,89654,-13.3679,1.31021,3.58318,5.1374e-05,50.1514,0.0525319,0.000977958,-9.88342e-17,-3.65273e-16,0.00309953,179308,-6.18432,1.31488,1.65767,5.55255e-05,23.6753,0.0374757,0.00148164,0,0,0.00154977,89654
