loop#,ALPHA[AXIS_X:0.1],ANGLE[AXIS_X:0.1],BETA[AXIS_X:0.1],EPSILON[AXIS_X:0.1],GAMMA[AXIS_X:0.1],RMAJOR[AXIS_X:0.1],RMINOR[AXIS_X:0.1],X_AVERAGE[AXIS_X:0.1],X_P_AVE[AXIS_X:0.1],I_TOT[AXIS_X:0.1],N_PARTICLES[AXIS_X:0.1],ALPHA[AXIS_X:0.5],ANGLE[AXIS_X:0.5],BETA[AXIS_X:0.5],EPSILON[AXIS_X:0.5],GAMMA[AXIS_X:0.5],RMAJOR[AXIS_X:0.5],RMINOR[AXIS_X:0.5],X_AVERAGE[AXIS_X:0.5],X_P_AVE[AXIS_X:0.5],I_TOT[AXIS_X:0.5],N_PARTICLES[AXIS_X:0.5]
0,-2.38134,1.49957,0.199671,3.40869e-05,33.409,0.0338319,0.00100754,0,0,0.00192423,99998,-3.59175,1.15876,1.6709,0.000139325,8.31927,0.0371187,0.00375351,0,0,0.00192423,99998
1,-2.62672,1.45053,0.362681,3.09971e-05,21.7813,0.0261724,0.00118434,0,0,0.00192423,99998,-5.34798,1.17415,2.30634,0.000122045,12.8345,0.0428925,0.00284536,0,0,0.00192423,99998
2,-0.591273,1.47247,0.21928,2.3035e-05,6.1547,0.0119632,0.0019255,0,0,0.00191816,98206,-7.18007,1.15265,3.24198,2.04237e-05,16.2103,0.0199056,0.00102602,0,0,0.00191813,98196
3,0.0196672,-1.56935,0.0730704,3.11839e-05,13.6907,0.0206623,0.00150922,0,0,0.0016497,76907,-13.306,1.24315,4.54549,2.93708e-05,39.1706,0.0358232,0.000819881,0,0,0.00164958,76900
4,-1.07037,1.53499,0.0717244,2.24563e-05,29.9156,0.0259356,0.000865849,0,0,0.00192423,99999,-7.22802,1.23633,2.55476,0.000101781,20.8412,0.0487535,0.00208767,0,0,0.00192423,100000
5,-1.21611,1.47338,0.197949,1.637e-05,12.5231,0.0143857,0.00113794,0,0,0.00192423,99998,-6.57777,1.20524,2.56835,5.18399e-05,17.2356,0.0320001,0.00161999,0,0,0.00192423,99999
6,-1.12316,1.43919,0.262985,1.41387e-05,8.59932,0.0111214,0.00127131,0,0,0.00192423,99998,-8.33528,1.21726,3.11501,3.99489e-05,22.6249,0.0320426,0.00124674,0,0,0.00192423,99998
7,-0.187836,1.54283,0.15091,1.9164e-05,6.86026,0.0114704,0.00167073,0,0,0.00173987,73578,-15.1954,1.22448,5.50447,1.65955e-05,42.1294,0.0281097,0.000590382,0,0,0.00173955,73538
8,0.1492,-1.56017,0.0724436,1.9459e-05,14.1111,0.0165716,0.00117423,0,0,0.00192423,99999,-19.4003,1.25428,6.36945,1.81315e-05,59.2471,0.0344884,0.000525727,0,0,0.00192423,99999
9,0.0420006,-1.56966,0.0271049,8.45807e-06,36.9587,0.0176805,0.000478384,0,0,0.00192423,99999,-11.253,1.26706,3.5524,4.04008e-05,35.9276,0.0399249,0.00101192,0,0,0.00192423,99999
