loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
23,-1.8893,1.39004,0.438062,1.08866e-05,10.4311,0.0108314,0.0010051,-1.11959e-17,5.88248e-17,0.00384845,499984,-1.11902,1.44091,0.259458,9.19037e-06,8.68037,0.00900662,0.0010204,0,0,0.00192423,249992,-16.4069,1.32049,4.20936,3.61845e-05,64.1867,0.0497428,0.000727432,-2.0378e-16,-1.35801e-16,0.00384845,499984,-7.16872,1.32398,1.83922,4.14074e-05,28.4853,0.035416,0.00116917,0,0,0.00192423,249992
24,-0.839614,1.44802,0.245461,1.95063e-05,6.94591,0.0117265,0.00166344,9.00891e-18,-7.14797e-17,0.00335321,455218,-0.621944,1.48803,0.181824,1.31668e-05,7.62724,0.0100551,0.00130946,0,0,0.00167661,227609,-23.6146,1.30662,6.39847,2.07356e-05,87.3101,0.0440781,0.000470428,7.23395e-17,-3.42538e-16,0.00334661,454562,-7.9117,1.3099,2.1437,3.09456e-05,29.6659,0.0313591,0.000986813,0,0,0.00167331,227281
25,-1.77419,1.46542,0.246406,3.00404e-05,16.833,0.0226121,0.00132851,-4.04465e-18,1.84522e-16,0.00272305,295266,-1.10293,1.49436,0.15318,2.41618e-05,14.4697,0.0187525,0.00128846,0,0,0.00136152,147633,-12.4079,1.28935,3.60881,5.89276e-05,42.938,0.0523605,0.00112542,4.96277e-17,-3.34644e-16,0.00272031,294724,-5.46865,1.29581,1.59055,6.68506e-05,19.4312,0.037445,0.0017853,0,0,0.00136015,147362
26,-1.10832,1.46288,0.215812,3.78144e-05,10.3255,0.0198745,0.00190266,-2.02548e-17,-1.87529e-16,0.00379426,496420,-0.766737,1.49819,0.1493,2.73301e-05,10.6356,0.0170937,0.00159884,0,0,0.00189713,248210,-7.93342,1.26934,2.50245,5.93834e-05,25.5506,0.0407893,0.00145586,-1.95143e-17,6.20093e-16,0.00379428,496422,-5.02628,1.27527,1.58545,4.68645e-05,16.5654,0.0291211,0.0016093,0,0,0.00189714,248211
27,-0.0772292,1.5626,0.105604,1.94432e-05,9.52581,0.0136097,0.00142863,1.48907e-18,3.00981e-17,0.00384839,499992,-0.0561671,1.56647,0.0768044,1.33671e-05,13.0612,0.0132134,0.00101163,0,0,0.0019242,249996,-14.0862,1.31808,3.65477,2.21801e-05,54.5645,0.0359295,0.000617323,-9.67867e-17,-1.018e-16,0.00384839,499990,-6.86337,1.32169,1.78076,2.27607e-05,27.0143,0.0255852,0.000889603,0,0,0.00192419,249995
28,-0.910718,1.49098,0.159467,3.60366e-05,11.472,0.020397,0.00176676,-4.50157e-17,3.51714e-17,0.00373657,487690,-0.771904,1.50504,0.135162,2.12586e-05,11.8068,0.015877,0.00133896,0,0,0.00186828,243845,-15.6909,1.30939,4.21363,5.2824e-05,58.6675,0.0576263,0.000916665,1.68815e-16,-7.54997e-16,0.00373507,487524,-6.99603,1.31314,1.87871,5.92374e-05,26.5844,0.0410365,0.00144353,0,0,0.00186753,243762
29,-1.33013,1.49263,0.162514,3.42676e-05,17.0401,0.0242383,0.00141378,2.09417e-17,2.75266e-16,0.00322185,457130,-0.938097,1.51346,0.114616,2.42941e-05,16.4028,0.019995,0.00121501,0,0,0.00161093,228565,-13.02,1.28681,3.82093,5.01441e-05,44.6282,0.0492788,0.00101756,1.82944e-16,2.1024e-16,0.00322185,457130,-5.40542,1.29364,1.5863,6.0391e-05,19.0497,0.0352604,0.00171272,0,0,0.00161093,228565
30,-0.542241,1.50406,0.157152,2.2931e-05,8.23425,0.0137714,0.00166512,8.90044e-18,-3.16443e-17,0.00328955,326258,-0.376489,1.5345,0.109116,1.65127e-05,10.4636,0.0131532,0.00125541,0,0,0.00164477,163129,-9.27841,1.303,2.57334,3.78237e-05,33.8428,0.0370993,0.00101953,7.09109e-17,-2.41163e-16,0.00328797,325410,-5.51732,1.30791,1.53021,3.18042e-05,20.5468,0.0264707,0.00120149,0,0,0.00164398,162705
31,-0.0568391,1.56645,0.0763025,1.62807e-05,13.1481,0.0146309,0.00111276,-1.56466e-17,4.4635e-18,0.0037003,490188,-0.0440684,1.56819,0.0591598,1.04993e-05,16.9362,0.0133349,0.000787355,0,0,0.00185015,245094,-17.3972,1.33264,4.23655,2.30871e-05,71.6772,0.0418608,0.000551522,8.42978e-17,-1.18349e-15,0.00370029,490186,-7.58387,1.33565,1.84681,2.64807e-05,31.6844,0.0297849,0.000889065,0,0,0.00185015,245093
32,-1.2209,1.4451,0.255114,1.33465e-05,9.7627,0.0115047,0.0011601,-1.27747e-17,-3.20721e-17,0.00384824,499980,-0.913594,1.475,0.190902,8.91792e-06,9.61045,0.0092999,0.000958926,0,0,0.00192412,249990,-21.796,1.3257,5.46245,3.23548e-05,87.152,0.0547373,0.000591092,1.31923e-16,7.19628e-16,0.00384824,499980,-7.72783,1.3289,1.93673,4.56272e-05,31.3515,0.0389548,0.00117129,0,0,0.00192412,249990
33,-1.34097,1.41462,0.324267,1.50826e-05,8.62934,0.0115472,0.00130617,-2.81749e-17,-1.96404e-16,0.00384815,499974,-1.06792,1.44082,0.258239,9.46955e-06,8.28865,0.00893374,0.00105998,0,0,0.00192408,249987,-25.1743,1.30413,6.88702,2.18983e-05,92.1656,0.046571,0.000470213,1.85808e-16,-1.84419e-16,0.00384815,499974,-7.56413,1.30784,2.06935,3.64396e-05,28.1326,0.0331563,0.00109902,0,0,0.00192408,249987
34,-0.130092,1.54758,0.176066,1.72825e-05,5.77582,0.00999363,0.00172935,-2.16126e-17,-2.06485e-18,0.00131007,132454,-0.0772451,1.56268,0.104544,1.45529e-05,9.62239,0.011834,0.00122976,0,0,0.000655033,66227,-12.1287,1.30215,3.36012,2.31593e-05,44.0772,0.033138,0.000698874,2.96304e-17,-9.99697e-17,0.00130458,131638,-7.10449,1.3052,1.96822,1.97685e-05,26.1524,0.0235627,0.000838977,0,0,0.00065229,65819
35,-0.968296,1.53376,0.0740336,1.92781e-05,26.1719,0.0224774,0.000857665,7.01931e-18,6.28096e-17,0.00309943,448654,-0.618845,1.5496,0.0473152,1.50821e-05,29.2288,0.0210007,0.000718171,0,0,0.00154972,224327,-21.3183,1.30064,5.9157,2.50302e-05,76.9935,0.0455515,0.000549493,-6.30922e-17,1.8259e-16,0.00309943,448654,-6.24376,1.30613,1.7326,4.27306e-05,23.0777,0.0325336,0.00131343,0,0,0.00154972,224327
36,-1.0583,1.49671,0.147969,2.42158e-05,14.3273,0.0186775,0.00129652,1.22126e-17,-2.06703e-17,0.00365665,487276,-0.753829,1.51995,0.105398,1.69983e-05,14.8793,0.0159241,0.00106746,0,0,0.00182833,243638,-14.5906,1.29966,4.07361,3.71786e-05,52.505,0.0458569,0.000810752,-3.47067e-16,7.65488e-16,0.00365665,487276,-6.00529,1.30505,1.67665,4.51645e-05,22.1057,0.0327447,0.00137929,0,0,0.00182833,243638
37,-1.51875,1.4626,0.235311,1.72861e-05,14.0521,0.0156767,0.00110266,1.30425e-17,1.10792e-16,0.00384833,499978,-0.854089,1.50516,0.132329,1.53694e-05,13.0694,0.0142032,0.0010821,0,0,0.00192416,249989,-16.845,1.30021,4.68799,3.03395e-05,60.741,0.044549,0.000681035,-3.13147e-17,4.16589e-16,0.00384833,499978,-5.82681,1.30626,1.62161,4.38546e-05,21.5536,0.0318504,0.0013769,0,0,0.00192416,249989
38,-2.18176,1.42241,0.392869,1.21313e-05,14.6616,0.0134841,0.000899674,-4.07049e-17,-5.05972e-17,0.00384845,499986,-1.19771,1.46427,0.215672,1.10492e-05,11.288,0.0112311,0.000983803,0,0,0.00192423,249993,-24.1685,1.30052,6.70659,2.03182e-05,87.2447,0.0436887,0.000465067,-6.07891e-18,-2.96817e-16,0.00384845,499986,-6.07196,1.30647,1.68493,4.04366e-05,22.475,0.0312293,0.00129483,0,0,0.00192423,249993
39,-2.57329,1.38217,0.562436,1.22221e-05,13.5515,0.0131008,0.000932928,7.03678e-18,6.81763e-17,0.00384845,499984,-1.96011,1.39779,0.428414,8.02279e-06,11.3022,0.00966557,0.000830038,0,0,0.00192423,249992,-39.8559,1.29295,11.3743,1.28114e-05,139.744,0.0439995,0.000291171,-2.34069e-17,1.7496e-16,0.00384845,499984,-7.03869,1.29765,2.00874,3.62716e-05,25.1617,0.0313716,0.00115619,0,0,0.00192423,249992
40,-0.3867,1.46024,0.306773,1.93579e-05,3.74719,0.00856555,0.00225997,8.25463e-19,4.85054e-18,0.00186522,169078,-0.228559,1.53023,0.18132,1.63754e-05,5.80323,0.00975611,0.00167847,0,0,0.000932612,84539,-17.7621,1.28639,5.20761,1.73357e-05,60.7751,0.0338171,0.000512632,-3.79688e-17,2.08764e-16,0.00185952,168368,-9.51201,1.28833,2.78879,1.61857e-05,32.8022,0.0239919,0.000674633,0,0,0.000929761,84184
41,-1.00125,1.53746,0.0666201,1.79327e-05,30.0584,0.0232299,0.000771968,8.64082e-18,-2.22759e-17,0.00299849,441268,-0.61988,1.55231,0.0412451,1.44826e-05,33.5616,0.0220505,0.000656793,0,0,0.00149925,220634,-26.9823,1.30497,7.35596,2.07306e-05,99.1095,0.0469776,0.000441286,2.56799e-16,-1.80317e-16,0.00299848,441266,-6.83586,1.30961,1.8636,4.09139e-05,25.6111,0.0335053,0.00122112,0,0,0.00149924,220633
42,-0.651427,1.52237,0.1054,2.02731e-05,13.5139,0.0165713,0.00122338,1.3124e-17,9.66084e-17,0.00367712,488630,-0.467229,1.5417,0.0755976,1.41328e-05,16.1156,0.015098,0.000936067,0,0,0.00183856,244315,-18.367,1.30479,5.01821,2.42732e-05,67.424,0.0419293,0.000578907,1.25217e-16,3.01174e-16,0.00367712,488630,-6.60799,1.30941,1.80543,3.37336e-05,24.7396,0.0299029,0.0011281,0,0,0.00183856,244315
43,-1.23416,1.4804,0.184341,1.37542e-05,13.6875,0.0137767,0.000998362,1.00179e-18,-7.54174e-17,0.00384833,499986,-0.658181,1.52547,0.0983091,1.28953e-05,14.5785,0.0137251,0.000939539,0,0,0.00192416,249993,-25.6753,1.31547,6.71134,2.18073e-05,98.3737,0.0478688,0.000455565,1.28472e-17,-3.27256e-16,0.00384833,499986,-6.69846,1.32014,1.75093,4.17939e-05,26.1971,0.0341549,0.00122366,0,0,0.00192416,249993
44,-2.02895,1.41663,0.389659,8.93213e-06,13.131,0.0109592,0.000815034,-2.25292e-17,8.14004e-17,0.00384845,499990,-1.03075,1.47128,0.197957,8.79107e-06,10.4187,0.00961749,0.000914071,0,0,0.00192423,249995,-34.0713,1.31224,9.01821,1.46646e-05,128.834,0.0449605,0.000326167,8.32261e-17,-2.1138e-16,0.00384845,499990,-6.65576,1.31717,1.76169,3.75348e-05,25.7134,0.0320921,0.00116959,0,0,0.00192423,249995
45,-1.78271,1.40003,0.400535,1.31857e-05,10.4312,0.0118994,0.0011081,5.24575e-17,2.85226e-17,0.00384839,499982,-1.25354,1.43274,0.281641,9.37589e-06,9.12992,0.00933992,0.00100385,0,0,0.0019242,249991,-33.0982,1.30545,9.00236,1.62805e-05,121.8,0.0461455,0.000352808,-1.44344e-17,-9.59461e-17,0.00384839,499982,-7.30759,1.30958,1.98759,3.68696e-05,27.3703,0.0328809,0.00112131,0,0,0.0019242,249991
46,-0.726218,1.36579,0.4074,1.14353e-05,3.74913,0.00667824,0.00171232,1.99128e-18,-2.81134e-17,0.00126875,120980,-0.276983,1.53,0.155393,1.49903e-05,6.92902,0.0101999,0.00146966,0,0,0.000634373,60490,-20.1389,1.29775,5.65259,1.80636e-05,71.9273,0.0374318,0.000482573,1.30896e-17,-5.18631e-17,0.00126641,120726,-9.91141,1.29959,2.78193,1.83518e-05,35.6716,0.0265559,0.000691064,0,0,0.000633207,60363
47,-0.823787,1.54765,0.0471392,1.1573e-05,35.61,0.020306,0.000569929,-9.18723e-19,1.08567e-16,0.00313495,451218,-0.518652,1.55866,0.0296779,9.19108e-06,42.7591,0.0198257,0.000463593,0,0,0.00156747,225609,-26.6711,1.30229,7.34804,1.45349e-05,96.9439,0.0389324,0.000373337,2.35477e-17,-1.95933e-16,0.00313495,451218,-6.37664,1.3077,1.7568,3.03973e-05,23.7144,0.027804,0.00109327,0,0,0.00156747,225609
48,-0.821454,1.48778,0.167948,1.6379e-05,9.97206,0.0128239,0.00127723,8.01791e-18,-2.6832e-17,0.00365848,487414,-0.574759,1.51967,0.117509,1.17046e-05,11.3212,0.0115263,0.00101548,0,0,0.00182924,243707,-18.0263,1.31437,4.74014,2.71306e-05,68.7635,0.0446523,0.000607597,1.49709e-16,-1.28304e-16,0.00365848,487414,-7.14422,1.3181,1.87862,3.4228e-05,27.7011,0.0318009,0.00107632,0,0,0.00182924,243707
49,-1.14735,1.42654,0.288806,9.67572e-06,8.02069,0.00890048,0.0010871,2.45766e-17,-1.24255e-17,0.00384836,499984,-0.573743,1.5078,0.144421,9.67447e-06,9.2035,0.00945458,0.00102326,0,0,0.00192418,249992,-28.0582,1.31384,7.38144,1.41434e-05,106.79,0.0401826,0.000351978,-4.92041e-18,-6.82939e-17,0.00384836,499984,-6.76962,1.31848,1.78093,2.93098e-05,26.294,0.0286675,0.0010224,0,0,0.00192418,249992
