-2.00781,0.877672,0.000203468
nan,-nan,-nan
nan,-nan,-nan
nan,-nan,-nan
-4.07364,1.40279,0.000735968
nan,-nan,-nan
nan,-nan,-nan
-2.29983,1.01506,0.000879066
-2.99961,1.13266,0.000261801
nan,-nan,-nan
-2.184,0.984744,0.000510861
-2.68583,1.10466,0.000541557
-3.16806,1.25484,0.000342414
-2.22679,0.981222,0.00101709
-2.35038,1.01145,7.76157e-05
-4.44468,1.57907,0.000824273
-2.82134,1.14909,0.000474922
-3.668,1.38341,0.00046145
-2.32095,1.02881,0.000531447
-3.82603,1.35895,0.000660129
-3.5137,1.3585,0.00101704
-2.37128,1.02776,0.000405931
nan,-nan,-nan
-2.23517,1.01865,0.000352746
nan,-nan,-nan
-2.70743,1.09181,0.000547099
-2.89364,1.14589,0.00068669
-3.01118,1.20128,0.00082349
-2.24992,0.998113,0.000244017
-8.93587,2.04139,4.04255e-05
nan,-nan,-nan
-2.30275,1.00373,0.00105196
-2.20712,0.972466,0.000473267
-2.16975,0.975458,0.000544499
-2.36046,1.01881,0.000393926
nan,-nan,-nan
-3.4188,1.24579,0.00100074
-2.62604,1.10881,0.000668609
-2.36493,1.06447,0.000347983
-4.79575,1.57049,0.00011717
-2.54548,1.06906,0.000451695
nan,-nan,-nan
-4.28388,1.47645,0.000626435
-2.86336,1.15019,0.000124677
-2.19632,0.978231,0.000530846
nan,-nan,-nan
nan,-nan,-nan
-2.26715,1.00081,0.00084531
-2.52499,1.0287,0.000243305
-2.78612,1.1303,0.000448817
