loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.83536,0.418905,10.4285,2.1671e-05,199998,-11.4804,5.04263,26.3355,1.89538e-05,199998
2,-0.97542,0.201365,9.6911,3.01813e-05,199932,-9.80584,3.46057,28.0747,4.06343e-05,199934
3,-1.55634,0.257444,13.293,3.28935e-05,196794,-13.242,4.95588,35.584,3.93012e-05,196794
4,-2.28112,0.372719,16.6439,2.09679e-05,199726,-12.412,4.66484,33.2398,3.71143e-05,199726
5,-2.82003,0.396488,22.5796,2.29566e-05,199842,-16.247,6.08267,43.5604,3.57668e-05,199842
6,-2.50316,0.378532,19.1948,2.45433e-05,199818,-16.639,6.49929,42.7517,2.7371e-05,199818
7,-2.81199,0.470902,18.9154,1.8793e-05,199802,-15.8384,6.31002,39.9134,2.16375e-05,199804
8,-3.53815,0.623388,21.6856,1.3764e-05,199778,-17.8581,6.90854,46.3066,1.86888e-05,199780
9,-4.05568,0.727722,23.9769,1.16706e-05,199778,-19.8218,7.5084,52.4618,1.75497e-05,199778
10,-4.16436,0.755895,24.2651,1.11445e-05,199780,-21.1848,7.98276,56.346,1.65278e-05,199778
11,-4.11255,0.752083,23.8179,1.11178e-05,199786,-21.0657,7.91982,56.1584,1.66106e-05,199786
12,-4.04274,0.741768,23.3816,1.12139e-05,199790,-20.8392,7.81996,55.6615,1.68382e-05,199790
13,-3.99826,0.734035,23.1407,1.13031e-05,199800,-20.7876,7.79245,55.5825,1.69455e-05,199798
14,-3.97853,0.730138,23.0487,1.13524e-05,199802,-20.7883,7.79046,55.6007,1.69876e-05,199802
15,-3.97236,0.728664,23.0279,1.13723e-05,199802,-20.806,7.79759,55.644,1.69906e-05,199804
16,-3.97164,0.728298,23.0317,1.13781e-05,199804,-20.8224,7.80486,55.6797,1.69812e-05,199802
17,-3.97229,0.728295,23.0388,1.13788e-05,199802,-20.8329,7.80958,55.7019,1.69723e-05,199802
18,-3.9729,0.728355,23.0436,1.13785e-05,199802,-20.8378,7.81184,55.712,1.69672e-05,199802
19,-3.97328,0.728408,23.0461,1.13779e-05,199802,-20.8403,7.81295,55.7176,1.69642e-05,199804
20,-3.9734,0.728427,23.0468,1.13777e-05,199802,-20.8407,7.81314,55.7183,1.69634e-05,199802
21,-3.97351,0.728443,23.0475,1.13775e-05,199802,-20.8411,7.81327,55.7193,1.69632e-05,199802
22,-3.97351,0.728446,23.0474,1.13774e-05,199802,-20.8407,7.81315,55.7183,1.69632e-05,199802
23,-3.97352,0.728448,23.0475,1.13774e-05,199802,-20.8407,7.81311,55.7182,1.69634e-05,199802
24,-3.97349,0.728441,23.0473,1.13775e-05,199802,-20.8409,7.81318,55.7188,1.69632e-05,199802
