t#,time,x0,x1,x2,v1,v2,v3
0,0,-0.005,0.00349303,0,20920.8,5104.25,10365.1,
1,6.98661e-09,-0.00485214,0.00354974,0,21595.7,11078.2,8097.68,
2,1.44042e-08,-0.0046857,0.00365413,0,23463.2,16967.8,4016.78,
3,1.76281e-08,-0.00460826,0.00371264,0,24609.7,19305,1779.65,
4,1.93464e-08,-0.00456538,0.00374683,0,25309.3,20479.3,488.443,
5,2.1728e-08,-0.00450385,0.00379741,0,26388.9,21951.5,-1400.96,
6,2.41096e-08,-0.00443958,0.0038512,0,27607,23187.3,-3384.47,
7,2.70784e-08,-0.00435511,0.00392196,0,29340.8,24426.7,-5954.32,
8,3.07349e-08,-0.00424337,0.00401341,0,31852,25510.5,-9213.06,
9,3.44601e-08,-0.00411958,0.00410976,0,34603.8,26146.2,-12576,
10,4.01255e-08,-0.0039118,0.0042588,0,38740.2,26327.3,-17646.5,
11,4.57909e-08,-0.00368071,0.004407,0,42808,25913.2,-22545.6,
12,5.14562e-08,-0.00342798,0.0045514,0,46259.2,24958.9,-27197.3,
13,5.73035e-08,-0.00314963,0.00469275,0,48778,23259,-31646.7,
14,6.31509e-08,-0.00285917,0.00482179,0,50442.1,20732.8,-35628.3,
15,6.97267e-08,-0.00252368,0.00494601,0,51473.5,16873.2,-39395.5,
16,7.72303e-08,-0.00213558,0.00505238,0,51822,11283.6,-42576.5,
17,8.75095e-08,-0.00160653,0.00512205,0,50828.6,2013.85,-44641.8,
18,9.73985e-08,-0.00111557,0.00509321,0,48180.4,-7945.9,-43785,
19,1.08082e-07,-0.000625423,0.00494977,0,43190.7,-18848.9,-39459,
20,1.16636e-07,-0.000279871,0.00475313,0,37332.3,-26988.1,-33360.8,
21,1.20459e-07,-0.000143002,0.00464353,0,34198.7,-30303.2,-29872.3,
22,1.23594e-07,-4.01885e-05,0.00454453,0,31357.1,-32822,-26662.3,
23,1.26811e-07,5.57068e-05,0.00443489,0,28230.3,-35501.3,-23037.5,
24,1.30028e-07,0.000141292,0.00431405,0,24956.1,-40047.3,-18952.2,
25,1.31749e-07,0.000182685,0.00424217,0,23161.1,-43682.5,-16473.9,
26,1.33469e-07,0.000220972,0.00416333,0,21345.8,-48070.2,-13712,
27,1.36412e-07,0.000279233,0.00400939,0,18291.8,-56762.4,-8177.71,
28,1.39355e-07,0.000329391,0.00382812,0,16013.2,-66559.3,-1395.73,
