loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
39,-1.18735,1.41846,0.306664,2.55661e-05,7.85811,0.0143374,0.00178317,-6.06607e-19,7.04673e-17,0.00373928,197112,-0.850428,1.46107,0.219644,1.78476e-05,7.84554,0.0119036,0.00149934,0,0,0.00186964,98556,-20.7329,1.28407,6.12628,2.32542e-05,70.3284,0.0421615,0.000551552,-3.1675e-17,-1.04452e-16,0.00373928,197114,-7.83059,1.28751,2.31383,3.07848e-05,26.9329,0.0299884,0.00102656,0,0,0.00186964,98557
40,-0.644198,1.50302,0.147493,1.74957e-05,9.5936,0.012985,0.00134737,-1.09126e-17,-4.41367e-17,0.00117521,102920,-0.401344,1.53884,0.0918892,1.40413e-05,12.6356,0.0133267,0.00105362,0,0,0.000587606,51460,-13.954,1.3064,3.79588,2.17787e-05,51.5597,0.0347157,0.000627344,2.84633e-17,-1.17284e-16,0.00117329,102836,-6.72144,1.31032,1.82842,2.26069e-05,25.2555,0.0247275,0.000914242,0,0,0.000586644,51418
41,-1.38189,1.49941,0.150156,2.40547e-05,19.3773,0.0216447,0.00111134,8.05533e-18,6.49594e-17,0.00334275,186382,-0.874573,1.5236,0.0950307,1.90041e-05,18.5717,0.0188075,0.00101045,0,0,0.00167138,93191,-16.6497,1.285,4.90857,2.67614e-05,56.6793,0.0405924,0.000659272,1.76485e-17,1.18508e-16,0.00334275,186382,-4.65084,1.29524,1.37113,4.79016e-05,16.5048,0.0292164,0.00163955,0,0,0.00167138,93191
42,-2.49933,1.43912,0.382947,2.59674e-05,18.9234,0.0223604,0.00116131,-3.2024e-17,-5.75332e-17,0.00334917,145960,-1.89789,1.45097,0.290793,1.70983e-05,15.8256,0.016568,0.00103201,0,0,0.00167459,72980,-15.672,1.2702,4.87619,3.90648e-05,50.5748,0.0465347,0.000839476,-4.85975e-17,-1.49655e-16,0.00334614,145546,-5.09256,1.27884,1.5845,6.01107e-05,16.9985,0.0333736,0.00180115,0,0,0.00167307,72773
43,-1.72554,1.40756,0.376344,2.66298e-05,10.5687,0.0170003,0.00156643,-1.9897e-17,3.13544e-17,0.00377985,198192,-1.2779,1.43487,0.278713,1.79789e-05,9.44713,0.0131526,0.00136694,0,0,0.00188992,99096,-15.3039,1.25199,5.0707,2.62983e-05,46.3859,0.0367792,0.000715031,-2.30438e-17,-1.38179e-16,0.00377985,198192,-5.73781,1.25884,1.90113,3.50711e-05,17.8433,0.0262807,0.00133448,0,0,0.00188992,99096
44,-0.504574,1.50084,0.171,3.37048e-05,7.33682,0.0157632,0.0021382,-6.79427e-18,-1.92915e-17,0.00272713,152992,-0.405095,1.52239,0.137284,2.09916e-05,8.47951,0.013357,0.00157158,0,0,0.00136356,76496,-12.611,1.29301,3.6171,2.90436e-05,44.245,0.0372757,0.000779155,-5.90258e-17,-2.9877e-16,0.00272237,152792,-6.34396,1.29744,1.81958,2.88672e-05,22.6678,0.026565,0.00108666,0,0,0.00136119,76396
45,-1.2925,1.50068,0.144681,2.39413e-05,18.4583,0.0210734,0.00113609,-1.06699e-17,1.05947e-16,0.00344456,189190,-0.760526,1.52968,0.0851314,2.03446e-05,18.5408,0.0194381,0.00104663,0,0,0.00172228,94595,-10.525,1.30256,2.91723,5.17776e-05,38.3159,0.0461919,0.00112092,2.0736e-18,4.53901e-16,0.00344456,189190,-5.08929,1.30937,1.4106,5.35406e-05,19.0706,0.033075,0.00161877,0,0,0.00172228,94595
46,-1.88004,1.46097,0.265065,3.06022e-05,17.1074,0.0230188,0.00132944,-1.09526e-17,6.57744e-17,0.00367765,195488,-1.59721,1.46945,0.22519,1.80106e-05,15.7693,0.0169393,0.00106325,0,0,0.00183883,97744,-13.6168,1.27644,4.14845,4.41376e-05,44.9369,0.0465362,0.000948459,2.46772e-17,-3.2624e-16,0.00367774,195492,-5.04465,1.28481,1.53688,5.95689e-05,17.2092,0.0333691,0.00178515,0,0,0.00183887,97746
47,-1.73131,1.41943,0.34956,2.22909e-05,11.4356,0.0161492,0.00138031,-1.11157e-17,-4.5821e-17,0.00348929,144132,-1.41421,1.43581,0.285536,1.36444e-05,10.5065,0.012082,0.00112931,0,0,0.00174465,72066,-20.2283,1.27585,6.1593,2.18767e-05,66.5957,0.0398916,0.000548404,6.12903e-17,9.70672e-17,0.00348549,143760,-5.70334,1.28289,1.73661,3.87962e-05,19.3067,0.0285404,0.00135935,0,0,0.00174275,71880
48,-0.388634,1.5159,0.159624,2.62153e-05,7.21092,0.0137694,0.00190388,-4.90792e-18,-2.38804e-18,0.00368189,195584,-0.322252,1.53161,0.132359,1.58074e-05,8.33977,0.0114904,0.0013757,0,0,0.00184094,97792,-11.0339,1.29721,3.11987,2.51816e-05,39.3433,0.0326909,0.000770292,-7.66581e-17,-1.88892e-17,0.00368189,195584,-6.09675,1.30162,1.72389,2.27864e-05,22.142,0.0232994,0.000977984,0,0,0.00184094,97792
49,-0.674152,1.51794,0.11345,3.32286e-05,12.8204,0.0206686,0.00160769,7.54651e-18,-8.36321e-18,0.00172718,119726,-0.595735,1.5265,0.100253,1.8801e-05,13.5148,0.0159558,0.00117832,0,0,0.000863591,59863,-10.2802,1.3136,2.72786,5.64716e-05,39.1086,0.0485924,0.00116215,-4.00558e-17,1.42006e-16,0.0017154,119250,-5.93004,1.31786,1.57354,4.89477e-05,22.9835,0.0346412,0.00141299,0,0,0.000857701,59625
