loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
11,-2.23494,1.44444,0.339661,1.16054e-05,17.6498,0.0144266,0.000804442,1.06792e-17,1.79116e-17,0.00271613,167792,-1.49648,1.46561,0.227432,8.66595e-06,14.2436,0.0111715,0.000775716,0,0,0.00135806,83896,-27.6542,1.31299,7.30052,2.29074e-05,104.891,0.0506933,0.000451883,9.39522e-17,3.16381e-16,0.00271606,167790,-7.10819,1.31719,1.87651,4.45603e-05,27.4587,0.036134,0.0012332,0,0,0.00135803,83895
12,-1.20839,1.47439,0.195658,2.27063e-05,12.574,0.0169753,0.00133761,-5.51171e-19,6.93243e-17,0.00301684,176160,-0.948963,1.49373,0.153652,1.44567e-05,12.369,0.0134117,0.00107791,0,0,0.00150842,88080,-17.4964,1.29958,4.87992,2.99058e-05,62.9362,0.0450295,0.000664138,5.46542e-17,-5.49531e-17,0.00301477,176086,-6.34062,1.30465,1.76846,4.12615e-05,23.299,0.0321352,0.001284,0,0,0.00150739,88043
13,-1.10994,1.47736,0.187136,3.1115e-05,11.927,0.019348,0.00160818,2.30884e-17,-1.83197e-17,0.00349054,190394,-0.944242,1.49093,0.159199,1.82876e-05,11.882,0.0147876,0.00123668,0,0,0.00174527,95197,-13.5829,1.29,3.93719,3.89654e-05,47.1134,0.044592,0.000873822,-4.48456e-17,-6.35105e-17,0.00349054,190394,-5.8769,1.29565,1.70351,4.5029e-05,20.8617,0.0318447,0.00141402,0,0,0.00174527,95197
14,-0.204917,1.53824,0.161629,2.31331e-05,6.4468,0.0122184,0.0018933,4.42763e-18,7.15555e-17,0.00260507,89326,-0.146557,1.554,0.115589,1.61736e-05,8.83715,0.0119569,0.00135265,0,0,0.00130254,44663,-10.2861,1.30206,2.85768,3.00197e-05,37.3745,0.0347421,0.000864074,-1.0246e-17,7.7355e-17,0.00260347,89248,-6.70466,1.30504,1.86269,2.30274e-05,24.67,0.0247004,0.00093227,0,0,0.00130173,44624
15,-0.257409,1.5418,0.118638,2.22208e-05,8.98748,0.0141377,0.00157174,1.31368e-17,-5.90077e-19,0.00377589,198072,-0.164765,1.55855,0.0759414,1.73571e-05,13.5255,0.0153231,0.00113274,0,0,0.00188794,99036,-14.1552,1.31563,3.70968,3.30155e-05,54.2823,0.0437501,0.00075464,4.88057e-17,5.38435e-16,0.00377589,198072,-8.17994,1.31788,2.14373,2.85663e-05,31.6791,0.03107,0.000919416,0,0,0.00188794,99036
16,-0.0862638,1.5654,0.0627711,1.54e-05,16.0494,0.0157216,0.000979543,-8.77727e-18,-1.02439e-17,0.0038055,198856,-0.0583621,1.56832,0.0424644,1.13821e-05,23.6294,0.0163998,0.000694039,0,0,0.00190275,99428,-24.979,1.32767,6.20505,2.07173e-05,100.716,0.0470631,0.000440204,-4.07458e-17,-2.29626e-16,0.0038055,198856,-8.68867,1.3302,2.15836,2.97795e-05,35.4402,0.0334496,0.000890281,0,0,0.00190275,99428
17,-0.19432,1.55734,0.0715403,1.46227e-05,14.506,0.0145655,0.00100392,-8.65238e-18,-2.52304e-17,0.00380118,198732,-0.142189,1.56348,0.0523458,9.99219e-06,19.49,0.0139556,0.000716,0,0,0.00190059,99366,-24.3065,1.32687,6.05896,2.09782e-05,97.6744,0.0466469,0.000449723,-1.58023e-17,-1.41502e-19,0.00380118,198732,-8.03624,1.32988,2.00322,3.17258e-05,32.7379,0.0331855,0.000956015,0,0,0.00190059,99366
18,-0.371614,1.53911,0.0963707,1.40617e-05,11.8096,0.0128929,0.00109065,1.45522e-17,-1.17966e-17,0.00373531,196926,-0.272765,1.55276,0.070733,9.57915e-06,15.1895,0.0120644,0.000794001,0,0,0.00186766,98463,-22.1244,1.32843,5.48017,2.54077e-05,89.5023,0.0491225,0.000517232,8.445e-17,1.64737e-16,0.00373531,196926,-7.90709,1.33146,1.95857,3.55468e-05,32.4329,0.0349496,0.00101709,0,0,0.00186766,98463
19,-0.664047,1.51532,0.119673,1.40673e-05,12.0408,0.0130346,0.00107923,-1.31414e-18,1.35229e-16,0.00342765,188366,-0.49273,1.53543,0.0887968,9.47924e-06,13.9958,0.0115254,0.000822465,0,0,0.00171383,94183,-20.9828,1.32692,5.23234,2.92868e-05,84.3367,0.0512139,0.000571853,2.36753e-17,-1.16878e-16,0.00342765,188366,-7.70098,1.33009,1.92034,3.98979e-05,31.4033,0.0364465,0.0010947,0,0,0.00171383,94183
20,-1.07135,1.49257,0.156315,1.47175e-05,13.7402,0.0142638,0.00103181,-1.03482e-19,-5.59508e-17,0.00303121,177100,-0.793755,1.51418,0.115812,9.93202e-06,14.0749,0.0118423,0.000838692,0,0,0.00151561,88550,-22.2867,1.32034,5.71243,2.84637e-05,87.1249,0.0514022,0.000553745,-1.09161e-16,-6.30967e-16,0.00303121,177100,-7.36028,1.32399,1.88656,4.30935e-05,29.2457,0.0366089,0.00117713,0,0,0.00151561,88550
21,-1.20327,1.48971,0.164573,1.84741e-05,14.874,0.016631,0.00111082,2.03828e-17,5.04546e-17,0.0029187,173308,-0.922878,1.50768,0.126224,1.20433e-05,14.6699,0.0133183,0.000904267,0,0,0.00145935,86654,-19.3351,1.3102,5.16871,3.07501e-05,72.5223,0.0488734,0.000629178,2.70266e-17,2.29993e-16,0.00291814,173288,-6.71252,1.31466,1.7944,4.42878e-05,25.6676,0.0348513,0.00127076,0,0,0.00145907,86644
22,-1.10779,1.48758,0.166759,2.58046e-05,13.3558,0.0186286,0.00138521,6.89835e-19,-2.28844e-17,0.00346394,189664,-0.937255,1.50012,0.141088,1.52498e-05,13.314,0.0142845,0.00106758,0,0,0.00173197,94832,-16.4787,1.29838,4.61919,3.34397e-05,59.0031,0.0461193,0.000725071,1.29992e-16,2.19821e-17,0.00346394,189664,-6.0752,1.30389,1.70297,4.53512e-05,22.26,0.0329371,0.0013769,0,0,0.00173197,94832
23,-1.25266,1.46907,0.208002,2.7548e-05,12.3516,0.0185414,0.00148576,-2.9159e-18,9.47573e-17,0.00378015,198184,-1.00473,1.487,0.166835,1.71729e-05,12.0447,0.0144324,0.00118989,0,0,0.00189008,99092,-13.6544,1.28974,3.96156,3.84685e-05,47.3156,0.044405,0.00086631,8.47226e-17,6.4197e-17,0.00378015,198184,-5.75527,1.2957,1.66977,4.56336e-05,20.4358,0.0317283,0.00143826,0,0,0.00189008,99092
24,-0.436218,1.50884,0.166006,2.03462e-05,7.17014,0.0121011,0.00168135,-4.93234e-18,-5.04459e-17,0.0036127,184914,-0.310317,1.53699,0.118093,1.43002e-05,9.2833,0.0115284,0.00124044,0,0,0.00180635,92457,-13.796,1.30484,3.77658,2.60972e-05,50.6621,0.0376857,0.000692494,-3.64287e-17,-2.51061e-16,0.00361209,184872,-7.12582,1.30819,1.95066,2.52631e-05,26.5436,0.0268135,0.000942177,0,0,0.00180604,92436
25,-0.341538,1.52912,0.134378,1.84489e-05,8.30975,0.0123923,0.00148874,-1.38705e-17,1.23661e-17,0.00343035,188744,-0.263394,1.54504,0.10363,1.19614e-05,10.3192,0.0111136,0.00107628,0,0,0.00171518,94372,-12.9622,1.31779,3.36997,2.71528e-05,50.1542,0.0381159,0.000712374,-3.72296e-17,5.50538e-16,0.00343035,188744,-7.10606,1.32089,1.84747,2.47642e-05,27.8738,0.0271144,0.000913324,0,0,0.00171518,94372
26,-0.210138,1.53899,0.15463,1.57586e-05,6.75263,0.0103207,0.00152689,5.78004e-18,2.76286e-19,0.00374204,197164,-0.18306,1.54653,0.134701,9.04506e-06,7.67265,0.00833305,0.00108544,0,0,0.00187102,98582,-17.0796,1.32642,4.27268,2.03129e-05,68.508,0.0384461,0.000528346,4.50355e-17,-2.47364e-16,0.00374204,197164,-8.08179,1.32901,2.02176,2.1464e-05,32.8008,0.0273279,0.000785425,0,0,0.00187102,98582
27,-0.351058,1.51168,0.184281,1.45426e-05,6.09527,0.00943099,0.00154201,-3.52683e-18,3.47247e-17,0.00380995,198972,-0.29949,1.5267,0.157215,8.5232e-06,6.93124,0.00769343,0.00110785,0,0,0.00190497,99486,-18.4664,1.32956,4.55582,2.23261e-05,75.071,0.0421601,0.000529554,1.11836e-17,-3.40064e-16,0.00380995,198972,-8.27621,1.33208,2.04181,2.49078e-05,34.0363,0.0299656,0.000831213,0,0,0.00190497,99486
