loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.83732,0.419526,10.4302,2.16385e-05,100000,-2.93474,1.95414,4.91914,2.13202e-05,100000
2,-0.974415,0.201316,9.68369,3.01671e-05,99960,-5.21856,2.04869,13.7812,4.199e-05,99960
3,-1.55708,0.257513,13.2984,3.28987e-05,98414,-6.72297,3.08746,14.9632,3.47631e-05,98414
4,-2.27979,0.372621,16.632,2.09778e-05,99874,-6.36918,2.96747,14.0074,3.15894e-05,99874
5,-2.81919,0.396444,22.5702,2.2959e-05,99930,-9.19594,4.23384,20.2098,2.79798e-05,99930
6,-2.50255,0.378492,19.1886,2.45449e-05,99916,-8.92966,4.53353,17.8093,2.01421e-05,99916
7,-2.81116,0.47082,18.9088,1.8792e-05,99900,-8.20569,4.19922,16.2729,1.64688e-05,99900
8,-3.53852,0.623447,21.6877,1.37642e-05,99896,-9.20366,4.29315,19.9637,1.61646e-05,99896
9,-4.05517,0.727682,23.9726,1.16713e-05,99892,-10.1782,4.55775,22.9489,1.60921e-05,99892
10,-4.1635,0.755742,24.2606,1.11482e-05,99896,-10.6941,4.76949,24.1879,1.55156e-05,99896
11,-4.11143,0.751919,23.8109,1.11208e-05,99898,-10.6098,4.72412,24.0398,1.56738e-05,99898
12,-4.04154,0.741615,23.3733,1.12159e-05,99898,-10.5878,4.70323,24.0478,1.58043e-05,99898
13,-3.99727,0.733959,23.1323,1.13022e-05,99900,-10.613,4.70921,24.1306,1.58523e-05,99898
14,-3.97784,0.73008,23.043,1.13516e-05,99900,-10.6268,4.71611,24.1573,1.58696e-05,99900
15,-3.9719,0.728624,23.0242,1.13716e-05,99900,-10.638,4.7238,24.1683,1.58577e-05,99900
16,-3.97122,0.728258,23.0284,1.13776e-05,99900,-10.6462,4.72973,24.1752,1.5839e-05,99900
17,-3.97211,0.728291,23.037,1.13787e-05,99902,-10.648,4.7318,24.1725,1.58305e-05,99902
18,-3.97259,0.72834,23.0407,1.13784e-05,99902,-10.6497,4.73301,24.1741,1.58244e-05,99902
19,-3.973,0.728393,23.0435,1.13785e-05,99904,-10.6477,4.73229,24.1687,1.58262e-05,99904
20,-3.97269,0.728367,23.041,1.13779e-05,99902,-10.6505,4.73338,24.1757,1.58211e-05,99902
21,-3.97292,0.728399,23.0424,1.13775e-05,99902,-10.6504,4.73329,24.176,1.58217e-05,99902
22,-3.97305,0.728416,23.0433,1.13773e-05,99902,-10.6508,4.7334,24.1768,1.58218e-05,99902
23,-3.97299,0.728406,23.043,1.13774e-05,99902,-10.6507,4.73341,24.1765,1.58215e-05,99902
24,-3.97305,0.728415,23.0434,1.13774e-05,99902,-10.6506,4.73334,24.1762,1.58218e-05,99902
