loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71563,1.44834,0.489903,6.11631e-05,30.2221,0.043318,0.00141196,5.20108e-17,-1.95043e-16,0.00384845,199996,-3.36325,1.45009,0.443441,3.3786e-05,27.7634,0.0308512,0.00109513,0,0,0.00192423,99998,-23.134,1.22219,8.4219,5.04385e-05,63.6654,0.0602932,0.000836553,-1.18811e-16,-1.58923e-16,0.00384845,199996,-4.08025,1.23804,1.48541,0.000142985,11.8812,0.0435943,0.0032799,0,0,0.00192423,99998
2,0.595377,-1.4233,0.319567,2.03038e-05,4.23847,0.009373,0.00216621,4.79039e-18,-1.46278e-17,0.00165843,49956,0.306724,-1.52361,0.164648,1.97043e-05,6.64495,0.0114551,0.00172013,0,0,0.000829215,24978,-4.23674,1.24235,1.51554,2.2546e-05,12.5037,0.0177331,0.00127141,-1.92661e-17,-1.79046e-17,0.00165596,49868,-2.92607,1.25763,1.0467,1.63223e-05,9.13532,0.0128287,0.00127233,0,0,0.000827982,24934
3,-0.509827,1.55663,0.0349849,1.37263e-05,36.0134,0.0222357,0.000617307,-5.33178e-19,-1.52626e-18,0.00332157,185764,-0.339034,1.56372,0.0232646,1.03207e-05,47.9245,0.0222404,0.000464049,0,0,0.00166078,92882,-16.138,1.30472,4.4139,2.86602e-05,59.2298,0.0427035,0.000671144,5.10849e-17,-4.6095e-16,0.00332157,185764,-7.25663,1.30824,1.98476,3.18688e-05,27.0354,0.030393,0.00104856,0,0,0.00166078,92882
4,-0.950647,1.52184,0.0978609,1.96415e-05,19.4534,0.0195706,0.00100362,1.31029e-17,-9.3534e-17,0.00384214,199832,-0.640415,1.5408,0.0659239,1.45785e-05,21.3903,0.0176669,0.000825187,0,0,0.00192107,99916,-16.2242,1.31233,4.30461,4.20097e-05,61.3822,0.0525247,0.000799809,1.28591e-16,1.77757e-16,0.00384214,199832,-6.56334,1.31673,1.74138,5.19223e-05,25.3117,0.0374531,0.00138633,0,0,0.00192107,99916
5,-1.57991,1.49334,0.171329,1.38064e-05,20.4059,0.0168352,0.000820089,-1.64969e-18,1.01929e-17,0.00384845,199998,-0.82216,1.52696,0.0891569,1.32653e-05,18.7977,0.0158062,0.000839247,0,0,0.00192423,99999,-27.7936,1.31082,7.40182,2.35619e-05,104.499,0.0513457,0.000458887,6.78957e-17,2.41426e-16,0.00384845,199998,-6.44244,1.31601,1.71571,5.08249e-05,24.774,0.0366663,0.00138615,0,0,0.00192423,99999
6,-1.9113,1.4441,0.308752,1.18367e-05,15.0705,0.0134635,0.000879166,-6.53845e-18,3.49152e-17,0.00384845,199998,-1.0234,1.48781,0.16532,1.10531e-05,12.3841,0.0117398,0.000941501,0,0,0.00192423,99999,-29.8203,1.30694,8.06457,1.87162e-05,110.39,0.0470836,0.00039751,2.27598e-18,1.47275e-16,0.00384851,200000,-6.37022,1.31235,1.72275,4.38067e-05,24.1356,0.0336314,0.00130255,0,0,0.00192426,100000
7,-1.54001,1.43003,0.307708,1.62296e-05,10.9572,0.0134675,0.00120509,-2.90101e-18,-5.07983e-17,0.00384838,199996,-1.05262,1.46512,0.210323,1.18721e-05,10.0227,0.0109689,0.00108235,0,0,0.00192419,99998,-25.6567,1.30039,7.12185,2.05009e-05,92.5696,0.0452057,0.000453502,-1.45473e-16,2.08964e-16,0.00384838,199996,-6.60992,1.30541,1.83479,3.9788e-05,24.3575,0.0322587,0.00123341,0,0,0.00192419,99998
8,-1.55519,1.43701,0.293702,1.75814e-05,11.6398,0.0144334,0.00121811,4.62713e-18,-1.4274e-16,0.00199491,120110,-1.05736,1.47056,0.199681,1.29298e-05,10.607,0.0117695,0.00109859,0,0,0.000997454,60055,-22.3007,1.29223,6.38989,2.05026e-05,77.9857,0.0415894,0.000492977,4.55752e-17,1.75981e-16,0.00198422,119546,-6.81262,1.29692,1.95204,3.35578e-05,24.2883,0.0296527,0.00113169,0,0,0.000992109,59773
9,-0.951636,1.47096,0.198432,2.82162e-05,9.60336,0.0165427,0.00170566,1.59316e-17,7.05751e-17,0.00321332,182736,-0.676991,1.50474,0.141164,1.98319e-05,10.3307,0.0143445,0.00138254,0,0,0.00160666,91368,-11.3881,1.27638,3.47754,3.31354e-05,37.5809,0.0368738,0.000898615,2.82923e-18,-1.80541e-16,0.00321332,182736,-5.76109,1.28195,1.75924,3.27497e-05,19.4346,0.0263162,0.00124447,0,0,0.00160666,91368
10,-0.398568,1.51194,0.167746,2.28845e-05,6.90838,0.0125949,0.00181696,7.17556e-18,9.45059e-18,0.00359535,193286,-0.304192,1.53467,0.128028,1.49921e-05,8.53355,0.0113182,0.00132461,0,0,0.00179768,96643,-8.59328,1.3045,2.37352,3.40734e-05,31.5331,0.0339751,0.00100289,-3.67196e-17,2.27609e-16,0.00359535,193286,-6.05466,1.30767,1.67233,2.41794e-05,22.5187,0.0241645,0.00100062,0,0,0.00179768,96643
