loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-6.09894,1.67621e-05,40.2743,20810,-56.9292,1.97777e-05,197.943,20784
2,-1.13054,4.83437e-05,26.4478,87184,-12.035,5.1971e-05,41.1362,87184
3,-2.83996,3.57473e-05,32.6923,94528,-10.3004,0.000122243,36.9625,94528
4,-2.87354,2.50159e-05,27.3721,99108,-22.5369,3.49994e-05,77.2581,99108
5,-3.93455,1.72409e-05,35.0226,89438,-29.4998,3.28315e-05,107.578,89438
6,-10.532,1.31035e-05,91.438,36370,-23.8007,5.44291e-05,79.9796,36176
7,-2.07932,2.6721e-05,25.6033,93316,-17.1543,4.04052e-05,55.9092,93316
8,-1.43623,1.9668e-05,21.1065,97126,-18.5268,3.55508e-05,69.1834,97126
9,-2.87393,1.86749e-05,31.8934,98722,-18.4719,7.72516e-05,73.1066,98722
10,-6.05946,1.51906e-05,66.6472,41858,-24.9905,4.63381e-05,89.0959,41594
11,-1.82762,4.29561e-05,18.784,71388,-10.5418,5.98325e-05,32.7173,71102
12,-2.28569,3.00826e-05,21.3584,96102,-13.0458,6.63102e-05,45.0777,96102
13,-3.34875,3.01678e-05,31.6317,99904,-19.3675,6.7415e-05,68.3552,99904
14,-2.48563,2.73989e-05,23.1436,61620,-34.4692,2.77662e-05,118.825,61464
15,-1.82084,4.90234e-05,23.3523,91078,-13.6551,6.24698e-05,45.4324,91078
16,-3.5238,4.34111e-05,33.015,72840,-12.0433,0.000104502,39.4768,72814
17,-2.15138,3.62749e-05,19.341,99754,-25.8532,2.9796e-05,83.6529,99754
18,-3.375,2.04256e-05,31.2662,59396,-26.6281,3.6337e-05,96.2303,59136
19,-1.51717,4.43435e-05,21.1173,91680,-15.107,5.19028e-05,51.0245,91680
20,-2.99034,3.7233e-05,29.1759,69684,-10.3516,0.000109205,35.3712,69648
21,-0.998305,2.74654e-05,13.6448,99296,-18.8006,3.20915e-05,67.5265,99296
22,-4.53512,1.52408e-05,53.307,47112,-15.3681,9.16963e-05,60.0074,46846
23,-1.41237,4.35028e-05,17.5394,93500,-10.0847,5.59402e-05,32.6861,93500
24,-3.80575,3.29202e-05,34.1707,77328,-14.9125,8.17714e-05,50.541,77248
25,-2.99677,3.40802e-05,26.3765,99978,-30.9102,3.20184e-05,100.539,99978
26,-4.49824,1.97347e-05,37.919,64716,-41.8625,2.80625e-05,143.956,64588
27,-1.65609,4.4472e-05,28.4334,88548,-16.5823,5.11434e-05,57.2919,88548
28,-3.47984,4.4598e-05,34.4376,83266,-11.4081,0.000107587,37.3621,83180
29,-2.69498,4.56223e-05,25.1653,98724,-21.3867,4.61958e-05,68.4932,98724
