loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
20,-3.93426,1.40452,0.7017,8.47464e-06,23.4835,0.0143042,0.000592459,-6.02857e-17,-5.49157e-16,0.00384846,5999772,-31.4836,1.29287,8.99081,9.58986e-06,110.359,0.03383,0.000283473,5.73751e-17,-6.30374e-16,0.00384845,5999766
21,-3.93425,1.40452,0.7017,8.47464e-06,23.4835,0.0143042,0.000592459,1.79964e-16,-7.46187e-17,0.00384845,5999770,-31.4835,1.29287,8.99079,9.58988e-06,110.359,0.0338299,0.000283473,-1.68069e-16,-7.46455e-17,0.00384845,5999772
22,-3.93425,1.40452,0.701699,8.47465e-06,23.4835,0.0143042,0.00059246,-5.09728e-17,1.09609e-16,0.00384845,5999768,-31.4833,1.29287,8.99075,9.58992e-06,110.358,0.0338299,0.000283474,-1.68096e-17,3.33389e-16,0.00384845,5999770
23,-3.93425,1.40452,0.701699,8.47465e-06,23.4835,0.0143042,0.000592459,8.06359e-18,3.6937e-16,0.00384845,5999770,-31.4835,1.29287,8.99079,9.58989e-06,110.358,0.03383,0.000283473,-8.72218e-16,-6.82361e-16,0.00384846,5999778
24,-3.93425,1.40452,0.701699,8.47465e-06,23.4834,0.0143042,0.00059246,-4.44865e-18,2.2596e-16,0.00384845,5999768,-31.4834,1.29287,8.99078,9.58989e-06,110.358,0.0338299,0.000283473,4.98133e-16,-8.10113e-16,0.00384845,5999768
25,-3.93426,1.40452,0.701701,8.47464e-06,23.4835,0.0143042,0.000592459,-5.29682e-17,2.57235e-16,0.00384846,5999776,-31.4835,1.29287,8.99079,9.58988e-06,110.358,0.0338299,0.000283473,-2.11556e-17,-3.40445e-16,0.00384846,5999778
26,-3.93426,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,1.71447e-16,-1.5517e-16,0.00384846,5999774,-31.4835,1.29287,8.99078,9.58989e-06,110.358,0.0338299,0.000283473,-8.89871e-17,-1.73272e-15,0.00384845,5999776
27,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,8.87671e-17,6.66407e-16,0.00384845,5999770,-31.4835,1.29287,8.99078,9.58989e-06,110.358,0.0338299,0.000283473,6.33113e-16,7.93123e-16,0.00384846,5999772
28,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,1.80288e-17,1.27584e-17,0.00384846,5999772,-31.4834,1.29287,8.99077,9.5899e-06,110.358,0.0338299,0.000283474,-1.11084e-16,-1.80481e-15,0.00384846,5999772
29,-3.93425,1.40452,0.701699,8.47465e-06,23.4835,0.0143042,0.000592459,1.34896e-16,-6.43779e-17,0.00384845,5999772,-31.4834,1.29287,8.99077,9.5899e-06,110.358,0.0338299,0.000283474,-2.33354e-16,8.9918e-16,0.00384845,5999768
30,-3.93425,1.40452,0.701699,8.47466e-06,23.4834,0.0143042,0.00059246,-1.88487e-16,2.66192e-16,0.00384846,5999778,-31.4834,1.29287,8.99075,9.58992e-06,110.358,0.0338299,0.000283474,5.70894e-16,-3.38722e-16,0.00384846,5999776
31,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,-7.7585e-18,5.17102e-16,0.00384845,5999774,-31.4835,1.29287,8.9908,9.58988e-06,110.359,0.03383,0.000283473,-9.96013e-17,1.82091e-15,0.00384846,5999770
32,-3.93425,1.40452,0.701699,8.47465e-06,23.4834,0.0143042,0.00059246,7.97118e-17,5.30594e-16,0.00384845,5999768,-31.4835,1.29287,8.99078,9.58988e-06,110.358,0.0338299,0.000283473,-3.52398e-16,-2.35487e-16,0.00384846,5999776
33,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,4.79773e-17,3.14067e-16,0.00384846,5999776,-31.4835,1.29287,8.99079,9.58988e-06,110.358,0.0338299,0.000283473,1.00367e-17,2.33906e-16,0.00384845,5999770
34,-3.93426,1.40452,0.7017,8.47464e-06,23.4835,0.0143042,0.000592459,1.62656e-17,-6.37691e-17,0.00384845,5999772,-31.4835,1.29287,8.99079,9.58988e-06,110.359,0.0338299,0.000283473,3.52814e-16,-6.99571e-16,0.00384845,5999768
35,-3.93425,1.40452,0.7017,8.47464e-06,23.4835,0.0143042,0.000592459,-8.91842e-17,-1.76024e-16,0.00384845,5999774,-31.4835,1.29287,8.99078,9.58989e-06,110.358,0.0338299,0.000283473,-2.27601e-16,1.55038e-15,0.00384845,5999768
36,-3.93425,1.40452,0.701699,8.47465e-06,23.4835,0.0143042,0.000592459,1.51302e-17,-1.67129e-16,0.00384845,5999770,-31.4835,1.29287,8.99079,9.58988e-06,110.359,0.0338299,0.000283473,6.02051e-16,1.82068e-15,0.00384845,5999770
