t#,time,x0,x1,x2,v1,v2,v3
0,0,-0.005,0.00342997,0,-20854.4,-2858.55,-8182.56,
1,1.18509e-08,-0.00524176,0.00342747,0,-20700.6,2485.78,-8094.9,
2,2.12471e-08,-0.00544738,0.00347086,0,-23400.3,6709.46,-9598.52,
3,2.62211e-08,-0.00556915,0.00350945,0,-25663.3,8769.46,-10919.9,
4,3.26093e-08,-0.00574458,0.00357271,0,-29416.2,10928.7,-13054.6,
5,4.07828e-08,-0.00600501,0.00366972,0,-34025.9,12565.8,-16256.8,
6,4.86855e-08,-0.00628605,0.00377088,0,-36830.6,12842.4,-19510.2,
7,5.67122e-08,-0.00658786,0.00387137,0,-38115,12027.8,-22660,
8,6.47389e-08,-0.0068939,0.00396165,0,-37899.8,10336.1,-25424,
9,7.46145e-08,-0.00725915,0.0040494,0,-35726.8,7266.56,-28052.9,
10,8.23915e-08,-0.00752521,0.00409435,0,-32450.9,4216.67,-29377.4,
11,8.93802e-08,-0.00773817,0.00411296,0,-28317.5,1043.79,-29920.9,
12,9.9492e-08,-0.00798554,0.00409817,0,-20145.2,-4022.83,-29490.6,
13,1.10374e-07,-0.00814529,0.00402397,0,-8922.95,-9592.74,-27319.2,
14,1.2283e-07,-0.00817058,0.00386843,0,4792.03,-15101.9,-22670.3,
15,1.29531e-07,-0.00811519,0.00375997,0,11626.6,-17123.3,-19337.7,
16,1.3582e-07,-0.00802377,0.00364886,0,17310.3,-18008.3,-15836.2,
17,1.40014e-07,-0.00794411,0.00357341,0,20614.2,-17882.4,-13403.5,
18,1.44207e-07,-0.00785148,0.00349962,0,23490.1,-17219.3,-10977.5,
19,1.50184e-07,-0.00770063,0.00340174,0,26867.7,-15365.1,-7681.99,
20,1.56405e-07,-0.00752415,0.00331491,0,29774.9,-12378,-4678.72,
21,1.59469e-07,-0.00743099,0.00327971,0,31011.3,-10567.3,-3437.83,
22,1.62533e-07,-0.00733423,0.00325031,0,32119.4,-8596.17,-2390.52,
23,1.67885e-07,-0.00715784,0.00321406,0,33725,-4914.69,-1084.65,
24,1.71597e-07,-0.00703108,0.00320073,0,34522.6,-2261.15,-599.786,
25,1.73827e-07,-0.00695369,0.00319748,0,34868.2,-646.908,-481.421,
26,1.76213e-07,-0.00687018,0.00319801,0,35125.3,1087.85,-500.678,
27,1.82353e-07,-0.00665372,0.00321832,0,35240.8,5505.61,-1241.92,
28,1.86683e-07,-0.00650188,0.00324868,0,34821.2,8487.87,-2342.69,
29,1.9344e-07,-0.00627106,0.00332051,0,33337.7,12648.1,-4913.05,
30,2.0123e-07,-0.00602216,0.00343436,0,30316.8,16372.9,-8889.72,
31,2.0945e-07,-0.00579126,0.00358058,0,25656.9,19005,-13834,
32,2.14427e-07,-0.00567145,0.00367796,0,22565.6,20068.1,-17033.5,
33,2.19404e-07,-0.00556558,0.0037798,0,20074.1,20801.6,-20306.4,
34,2.24381e-07,-0.00547072,0.00388434,0,18125.5,21121.5,-23593.7,
35,2.29535e-07,-0.00538146,0.00399281,0,16587,20867.9,-26933.7,
36,2.38631e-07,-0.00523981,0.00417516,0,14698.1,18914.1,-32400,
37,2.47684e-07,-0.00511267,0.00433089,0,13473.3,15240.1,-36936.6,
38,2.57994e-07,-0.0049787,0.00445988,0,12590.6,9561.3,-40613.2,
39,2.68446e-07,-0.00484987,0.00452457,0,12144.2,2680.97,-42432.5,
40,2.7999e-07,-0.0047095,0.00450873,0,12279.7,-5452.24,-41987.7,
41,2.92245e-07,-0.00455539,0.00438975,0,12971.6,-13869.1,-38609.5,
42,3.02986e-07,-0.00441052,0.00420422,0,14069.7,-20485.5,-33203.6,
43,3.16285e-07,-0.00421231,0.00388942,0,15751.7,-26312.8,-23593.8,
44,3.22578e-07,-0.00411062,0.0037187,0,16564.1,-27779.4,-18112.7,
45,3.28999e-07,-0.00400169,0.00353809,0,17356.7,-28315.6,-12069.4,
46,3.38644e-07,-0.00382947,0.00326948,0,18268.7,-26872.4,-2529.53,
47,3.40384e-07,-0.00379758,0.00322321,0,18370,-26276,-809.543,
48,3.42301e-07,-0.00376228,0.00317354,0,18453.7,-25532.5,1065.28,
49,3.47334e-07,-0.00366907,0.00305074,0,18574.4,-23168.2,5833.08,
50,3.54355e-07,-0.00353837,0.00290244,0,18665.4,-18888.2,11872.3,
51,3.60615e-07,-0.00342112,0.00279855,0,18798.1,-14162.2,16311.4,
52,3.65493e-07,-0.00332917,0.00273962,0,18901.3,-9929.78,18915,
53,3.70371e-07,-0.00323676,0.00270237,0,18981.7,-5283.91,20595,
54,3.76795e-07,-0.0031145,0.00268906,0,19086.4,1167.63,21201.9,
55,3.82723e-07,-0.00300101,0.00271353,0,19206.6,7038.38,20087.2,
56,3.91466e-07,-0.00283199,0.00281038,0,19491.1,14941.3,15782.8,
57,3.98784e-07,-0.00268782,0.00294101,0,19950.6,20581.5,10228.9,
58,4.06103e-07,-0.00253932,0.00310887,0,20638.3,25088.5,3465.38,
59,4.10045e-07,-0.00245727,0.00321167,0,20991.4,27010.5,-495.633,
60,4.12813e-07,-0.00239885,0.00328802,0,21215.3,28113,-3357.81,
61,4.15581e-07,-0.00233985,0.00336701,0,21412.1,28905.9,-6252.82,
62,4.21087e-07,-0.00222108,0.00352853,0,21698.7,29562.6,-11982.7,
63,4.28101e-07,-0.00206815,0.00373419,0,21875,28804.4,-18953.9,
64,4.36279e-07,-0.00188923,0.00395992,0,21839.2,26131.7,-26250.3,
65,4.44458e-07,-0.00171152,0.00415786,0,21599.3,22080.8,-32389.4,
66,4.5483e-07,-0.00148981,0.00435414,0,21111.7,15534.9,-38274.4,
67,4.66296e-07,-0.00125238,0.00448349,0,20235.7,6800.65,-42057.2,
68,4.78693e-07,-0.00101033,0.00450339,0,18689.3,-3690.79,-42633.2,
69,4.91933e-07,-0.000777419,0.00437891,0,16440.6,-15059.3,-38991.5,
70,4.99576e-07,-0.000656932,0.00423981,0,15087,-21258.7,-34831.9,
71,5.07719e-07,-0.000539654,0.00404135,0,13758.5,-27414.5,-28715.8,
72,5.14564e-07,-0.000448408,0.00383718,0,13000.8,-32177.9,-22172.1,
73,5.19767e-07,-0.000381212,0.00366091,0,12906.2,-35541.1,-16286.1,
74,5.2431e-07,-0.000321932,0.0034929,0,13271.2,-38436.2,-10439.6,
75,5.29063e-07,-0.000256357,0.00330302,0,14534.1,-41469.6,-3510.52,
76,5.30579e-07,-0.000233809,0.00323937,0,15217.8,-42437.5,-1101.85,
77,5.32096e-07,-0.000210108,0.0031743,0,16057.6,-43333,1410.11,
78,5.35843e-07,-0.000144891,0.00300855,0,18975.6,-45000,8055.8,
