t#,time,x0,x1,x2,v1,v2,v3
77,3.88604e-07,0.00985966,0.000715357,0,482533,20413,1039.91,
78,3.90415e-07,0.0107658,0.000751664,0,518274,19627.2,-362.569,
79,3.92227e-07,0.0117393,0.000786315,0,557088,18585.1,-1630.41,
80,3.94038e-07,0.0127863,0.000818837,0,599521,17272.8,-2761.14,
81,3.9585e-07,0.0139141,0.00084872,0,646262,15667.2,-3750.74,
82,3.97809e-07,0.015234,0.000877416,0,702651,13569.4,-4655.66,
83,3.99418e-07,0.0164055,0.000897655,0,754469,11540.5,-5264.29,
84,4.01027e-07,0.017665,0.000914397,0,812249,9220.58,-5744.7,
85,4.02731e-07,0.0191066,0.000927792,0,881194,6449.76,-6109.09,
86,4.04578e-07,0.020812,0.000936694,0,966674,3145.05,-6336.52,
87,4.06677e-07,0.0229553,0.00093925,0,1.07939e+06,-663.954,-6397.08,
88,4.08432e-07,0.0249433,0.000935707,0,1.18674e+06,-3167.69,-6321.54,
89,4.0993e-07,0.0267928,0.000930279,0,1.28435e+06,-3728.22,-6216.26,
90,4.11452e-07,0.0288229,0.000925902,0,1.38044e+06,-1449.03,-6139.01,
91,4.1281e-07,0.0307474,0.000926928,0,1.45129e+06,3303.51,-6152.14,
92,4.14168e-07,0.0327531,0.000935225,0,1.49921e+06,8827.42,-6252.5,
93,4.15294e-07,0.0344563,0.00094728,0,1.52237e+06,12345.6,-6368.63,
94,4.16316e-07,0.0360187,0.000961023,0,1.53454e+06,14388,-6472.02,
95,4.17503e-07,0.0378447,0.000978992,0,1.54251e+06,15762.6,-6572.4,
96,4.1877e-07,0.0398033,0.000999532,0,1.54711e+06,16566.1,-6645.31,
97,4.20038e-07,0.0417662,0.00102085,0,1.54964e+06,17035.8,-6673.81,
98,4.21097e-07,0.0434076,0.00103904,0,1.55091e+06,17305.5,-6658.52,
99,4.21996e-07,0.0448025,0.00105468,0,1.55162e+06,17488.2,-6619.15,
100,4.22987e-07,0.0463403,0.0010721,0,1.55216e+06,17659.9,-6554.26,
101,4.23978e-07,0.0478785,0.00108968,0,1.55254e+06,17811.2,-6473.18,
102,4.24556e-07,0.0487762,0.0011,0,1.5527e+06,17893.6,-6417.92,
103,4.25257e-07,0.0498643,0.00111257,0,1.55285e+06,17991,-6339.16,
104,4.25957e-07,0.0509526,0.00112521,0,1.55297e+06,18087.4,-6245.94,
105,4.26658e-07,0.0520409,0.00113792,0,1.55307e+06,18182.7,-6141.49,
106,4.27748e-07,0.0537342,0.00115783,0,1.55317e+06,18330.2,-5956.06,
107,4.28648e-07,0.0551316,0.00117437,0,1.55324e+06,18451.9,-5781.67,
108,4.29209e-07,0.0560035,0.00118475,0,1.55327e+06,18527.9,-5663.41,
109,4.30096e-07,0.0573804,0.00120123,0,1.55331e+06,18648.4,-5460.52,
110,4.30982e-07,0.0587574,0.00121781,0,1.55333e+06,18768.7,-5240.24,
111,4.31951e-07,0.0602622,0.00123606,0,1.55336e+06,18898.8,-4982.45,
112,4.32605e-07,0.0612785,0.00124845,0,1.55337e+06,18985.6,-4798.15,
113,4.33174e-07,0.0621618,0.00125927,0,1.55338e+06,19060.7,-4630.04,
114,4.33743e-07,0.0630451,0.00127013,0,1.55338e+06,19134.9,-4455.71,
115,4.34367e-07,0.0640157,0.00128211,0,1.55339e+06,19215.3,-4257.11,
116,4.35166e-07,0.0652568,0.0012975,0,1.5534e+06,19316.3,-3992.79,
117,4.36154e-07,0.0667903,0.00131663,0,1.5534e+06,19437.1,-3652.16,
118,4.37141e-07,0.0683237,0.00133588,0,1.55341e+06,19553.5,-3294.42,
119,4.38128e-07,0.0698572,0.00135523,0,1.55341e+06,19664.2,-2922.15,
120,4.38879e-07,0.0710243,0.00137004,0,1.55341e+06,19744.2,-2630.58,
121,4.3972e-07,0.0723301,0.00138667,0,1.55341e+06,19828.9,-2295.59,
122,4.4056e-07,0.0736358,0.00140337,0,1.55341e+06,19908.3,-1950.89,
123,4.41284e-07,0.0747592,0.00141779,0,1.55341e+06,19972,-1647.8,
124,4.42007e-07,0.0758826,0.00143226,0,1.55341e+06,20031.1,-1339.96,
125,4.42656e-07,0.0768908,0.00144527,0,1.55341e+06,20080.1,-1059.2,
126,4.43324e-07,0.077929,0.00145871,0,1.55341e+06,20126.3,-765.698,
127,4.43992e-07,0.0789673,0.00147218,0,1.55341e+06,20168.2,-468.957,
128,4.4456e-07,0.0798492,0.00148364,0,1.55341e+06,20200.1,-214.368,
129,4.44817e-07,0.0802487,0.00148883,0,1.55341e+06,20213.5,-98.3415,
130,4.45131e-07,0.0807358,0.00149517,0,1.55341e+06,20228.9,43.4927,
131,4.45955e-07,0.0820166,0.00151187,0,1.55341e+06,20264.4,418.335,
132,4.46469e-07,0.0828146,0.00152228,0,1.55341e+06,20282.9,653.452,
133,4.47338e-07,0.0841642,0.00153992,0,1.55341e+06,20307.5,1052.98,
134,4.48037e-07,0.0852509,0.00155413,0,1.55341e+06,20321.4,1375.54,
135,4.4877e-07,0.0863882,0.00156901,0,1.55341e+06,20330.2,1713.65,
136,4.49386e-07,0.087345,0.00158153,0,1.55341e+06,20333.2,1997.72,
137,4.50002e-07,0.0883018,0.00159406,0,1.55341e+06,20332.2,2280.55,
138,4.50617e-07,0.0892586,0.00160658,0,1.55341e+06,20327.2,2562.67,
139,4.5135e-07,0.090396,0.00162146,0,1.55341e+06,20316.1,2896.42,
140,4.52082e-07,0.0915334,0.00163633,0,1.55341e+06,20299.6,3228.48,
141,4.52822e-07,0.092683,0.00165134,0,1.55341e+06,20277.6,3561.78,
142,4.53914e-07,0.0943796,0.00167347,0,1.55341e+06,20235.8,4047.45,
143,4.5508e-07,0.0961906,0.00169703,0,1.55341e+06,20179.7,4556.93,
144,4.56104e-07,0.0977813,0.00171766,0,1.55341e+06,20121.3,4995.45,
145,4.57128e-07,0.0993721,0.00173823,0,1.55341e+06,20055.1,5424.9,
146,4.58367e-07,0.101297,0.00176303,0,1.55341e+06,19965.5,5932.16,
147,4.5968e-07,0.103336,0.00178917,0,1.55341e+06,19860.6,6453.04,
148,4.61037e-07,0.105444,0.00181604,0,1.55341e+06,19742.5,6973.83,
149,4.62394e-07,0.107553,0.00184276,0,1.55341e+06,19617.1,7473.73,
150,4.63751e-07,0.109661,0.00186929,0,1.55341e+06,19485.6,7953.24,
151,4.65109e-07,0.111769,0.00189565,0,1.55341e+06,19349.5,8411.92,
152,4.66245e-07,0.113534,0.00191757,0,1.55341e+06,19233.4,8779.28,
153,4.67381e-07,0.115299,0.00193935,0,1.55342e+06,19115.9,9132.17,
154,4.68854e-07,0.117587,0.00196739,0,1.55342e+06,18962.3,9568.81,
155,4.69999e-07,0.119366,0.00198903,0,1.55342e+06,18842.7,9892.25,
156,4.71716e-07,0.122034,0.00202125,0,1.55342e+06,18663.5,10353.8,
157,4.73434e-07,0.124703,0.00205316,0,1.55343e+06,18487.6,10784.1,
158,4.75447e-07,0.12783,0.00209017,0,1.55343e+06,18286,11254.1,
159,4.76534e-07,0.129517,0.00210998,0,1.55343e+06,18181.7,11489.7,
160,4.7762e-07,0.131205,0.00212968,0,1.55343e+06,18080.5,11714.2,
161,4.78729e-07,0.132928,0.00214967,0,1.55343e+06,17980.4,11932.6,
162,4.79882e-07,0.134719,0.00217035,0,1.55344e+06,17879,12149.6,
163,4.81035e-07,0.136511,0.00219091,0,1.55344e+06,17782.1,12354.8,
164,4.8252e-07,0.138816,0.00221721,0,1.55344e+06,17660.3,12607.5,
165,4.84064e-07,0.141215,0.00224438,0,1.55344e+06,17540.7,12853,
166,4.84801e-07,0.14236,0.00225729,0,1.55344e+06,17485.9,12964.3,
167,4.85424e-07,0.143327,0.00226817,0,1.55344e+06,17443.4,13052.3,
168,4.86046e-07,0.144294,0.00227902,0,1.55344e+06,17402.4,13137.4,
169,4.86939e-07,0.145682,0.00229454,0,1.55344e+06,17345.2,13256,
170,4.87954e-07,0.147259,0.00231211,0,1.55344e+06,17282.8,13385.5,
171,4.89431e-07,0.149553,0.00233757,0,1.55344e+06,17198.1,13562.6,
172,4.9084e-07,0.151741,0.00236174,0,1.55344e+06,17123.7,13720.3,
173,4.92248e-07,0.153929,0.00238581,0,1.55344e+06,17054.9,13868.3,
174,4.93656e-07,0.156116,0.00240978,0,1.55343e+06,16991.6,14007.2,
175,4.95436e-07,0.158881,0.00243995,0,1.55343e+06,16920.3,14169.3,
176,4.97328e-07,0.161819,0.0024719,0,1.55341e+06,16854.5,14327,
177,4.99047e-07,0.164489,0.00250082,0,1.5534e+06,16803.2,14458.5,
178,5.00964e-07,0.167467,0.00253299,0,1.55337e+06,16755.8,14592.3,
179,5.02881e-07,0.170445,0.00256508,0,1.55334e+06,16720.4,14711.9,
180,5.07671e-07,0.177886,0.00264505,0,1.55317e+06,16680.9,14960,
181,5.13591e-07,0.18708,0.00274392,0,1.55265e+06,16745.9,15181.8,
182,5.20216e-07,0.197361,0.00285569,0,1.55096e+06,17053.7,15341.3,
183,5.26916e-07,0.207739,0.00297219,0,1.54621e+06,17806,15424.6,
184,5.33616e-07,0.218068,0.00309495,0,1.53595e+06,18789.8,15442.7,
185,5.38525e-07,0.225584,0.003188,0,1.52607e+06,19020.8,15421.8,
186,5.44025e-07,0.233948,0.00329194,0,1.5162e+06,18721.7,15371.1,
187,5.49524e-07,0.242266,0.00339376,0,1.50934e+06,18318.9,15298,
188,5.56401e-07,0.252627,0.0035186,0,1.50442e+06,18041.2,15179.9,
189,5.62219e-07,0.261372,0.00362339,0,1.50227e+06,18008.8,15061.7,
190,5.68036e-07,0.270108,0.00372837,0,1.50114e+06,18097.5,14928.5,
191,5.73854e-07,0.278839,0.00383409,0,1.5006e+06,18254.2,14782.9,
192,5.79671e-07,0.287569,0.00394082,0,1.50042e+06,18440,14629.2,
193,5.85489e-07,0.296298,0.00404865,0,1.50053e+06,18628,14468.2,
194,5.94761e-07,0.310214,0.00422257,0,1.50141e+06,18868.8,14201,
195,5.99974e-07,0.318044,0.00432116,0,1.50248e+06,18944.9,14044.9,
196,6.05188e-07,0.32588,0.00442002,0,1.50417e+06,18979.4,13888.5,
197,6.10401e-07,0.333728,0.00451906,0,1.50651e+06,19022.9,13731.5,
198,6.17309e-07,0.344148,0.00465102,0,1.51028e+06,19214.7,13530.3,
199,6.27101e-07,0.358962,0.00484177,0,1.51524e+06,19787,13254.2,
200,6.42749e-07,0.382712,0.00515941,0,1.51962e+06,20771.4,12826.4,
201,6.58397e-07,0.406504,0.00549034,0,1.52089e+06,21483.9,12413.7,
202,6.91883e-07,0.457434,0.00622791,0,1.52078e+06,22502.6,11570.6,
203,7.25368e-07,0.508352,0.0069952,0,1.52051e+06,23307.8,10744.6,
204,7.31886e-07,0.518262,0.00714757,0,1.5205e+06,23454.7,10581.9,
205,7.33029e-07,0.52,0.00717441,0,1.5205e+06,23480.3,10553.3,
