nan,-nan,-nan
-43.4157,21.7092,2.38871e-05
nan,-nan,-nan
nan,-nan,-nan
nan,-nan,-nan
nan,-nan,-nan
nan,-nan,-nan
-23.9995,11.6284,6.63236e-06
nan,-nan,-nan
-25.3376,8.23498,0.000195623
nan,-nan,-nan
-20.5695,6.33088,6.84669e-06
-13.8357,5.15591,0.00025012
nan,-nan,-nan
nan,-nan,-nan
-20.5047,10.6784,4.13934e-05
nan,-nan,-nan
-12.4797,5.65116,3.47806e-05
nan,-nan,-nan
nan,-nan,-nan
-132.108,54.1955,1.87467e-05
-17.1777,6.94911,4.21336e-05
-147.634,56.1181,2.73969e-05
nan,-nan,-nan
-4.88041,1.90562,3.22796e-05
-15.9886,5.92296,0.000188013
nan,-nan,-nan
nan,-nan,-nan
-19.2555,8.57458,3.25989e-05
nan,-nan,-nan
-9.47312,3.34565,0.00020127
-32.0911,11.1681,7.98071e-05
-43.4671,12.5549,8.1162e-05
nan,-nan,-nan
nan,-nan,-nan
-87.5611,42.5063,4.60384e-06
nan,-nan,-nan
-23.3123,10.1908,1.73324e-05
nan,-nan,-nan
nan,-nan,-nan
nan,-nan,-nan
nan,-nan,-nan
-27.3459,12.921,5.93011e-05
nan,-nan,-nan
nan,-nan,-nan
-40.5831,19.0837,1.64655e-05
-54.3034,23.6363,3.64319e-05
nan,-nan,-nan
nan,-nan,-nan
-9.38866,5.64212,4.81491e-05
