loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.70596,1.45036,0.480662,6.98244e-05,30.6539,0.0466016,0.00149833,-1.15869e-17,-1.11193e-15,0.00384148,499528,-23.0173,1.22077,8.41664,5.67328e-05,63.0653,0.0636755,0.000890967,1.12792e-16,-4.37179e-16,0.00384149,499528
2,1.72422,-1.43523,0.312399,1.26461e-05,12.7175,0.0127985,0.000988095,-5.39749e-18,-5.53067e-18,0.000196717,15720,-7.66221,1.28732,2.26719,1.47884e-05,26.3363,0.0205544,0.000719477,3.11349e-18,1.60376e-17,0.000194417,15534
3,-1.1043,1.53376,0.074391,1.08962e-05,29.8354,0.0180427,0.000603911,2.15502e-18,-7.33589e-17,0.00328888,462192,-25.8192,1.27677,7.82886,9.13777e-06,85.2783,0.0291667,0.000313295,1.62529e-18,1.43651e-16,0.00328888,462192
4,-1.3545,1.46514,0.220611,1.78443e-05,12.8492,0.0152266,0.00117192,-2.00421e-17,-1.51125e-16,0.00347692,475196,-16.6921,1.30621,4.53768,3.0996e-05,61.6232,0.0452797,0.000684545,1.88793e-16,-2.05859e-16,0.00347692,475196
5,-1.76275,1.42842,0.331867,1.39121e-05,12.3763,0.013255,0.00104957,-2.63362e-17,1.30519e-16,0.00369243,489690,-28.7712,1.29654,8.10364,1.51423e-05,102.272,0.0408805,0.000370405,-4.00821e-17,2.63474e-16,0.00369243,489690
6,-1.84659,1.40356,0.399926,1.15495e-05,11.0268,0.0114435,0.00100926,-2.11622e-17,6.23153e-17,0.00375901,494092,-29.7842,1.29864,8.32075,1.28444e-05,106.733,0.0384407,0.000334136,-1.10302e-17,4.02676e-17,0.00375899,494090
7,-2.30844,1.39693,0.478857,1.14507e-05,13.2167,0.0124893,0.000916838,9.27966e-18,6.20311e-18,0.00347815,474942,-29.1071,1.30249,8.01142,1.60535e-05,105.877,0.042757,0.000375458,-5.33918e-17,2.8352e-17,0.00347815,474944
8,-0.462716,1.48488,0.21872,1.70214e-05,5.55095,0.00975517,0.00174486,1.70406e-18,-1.24155e-18,4.51382e-05,5152,-16.954,1.29817,4.75539,1.35801e-05,60.655,0.0298005,0.0004557,-2.36438e-18,-2.5985e-17,4.43136e-05,5028
9,-2.86761,1.51639,0.175103,9.62349e-06,52.6727,0.0225477,0.000426806,-7.23566e-18,8.39846e-17,0.00357219,481702,-26.9565,1.28005,8.07618,1.46607e-05,90.0987,0.0379363,0.000386456,-1.65573e-16,-4.38307e-17,0.00357219,481702
10,-1.70703,1.4448,0.288872,1.66301e-05,13.5491,0.0151301,0.00109914,3.40565e-18,1.07306e-17,0.00363022,485590,-24.8698,1.29785,6.97224,2.00765e-05,88.8531,0.0438591,0.000457749,5.86794e-17,4.76071e-16,0.0036302,485588
