loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
21,-2.41366,1.43373,0.388833,1.78862e-05,17.5545,0.0178868,0.000999965,2.14236e-17,4.83799e-18,0.00372097,491570,-19.0545,1.28755,5.5604,2.94777e-05,65.4762,0.0457556,0.000644241,-1.05905e-17,-4.93496e-16,0.00372097,491570
22,-2.14108,1.41378,0.410744,2.00701e-05,13.5954,0.0167232,0.00120014,-6.11863e-17,-3.49625e-16,0.00346399,437856,-23.4293,1.2761,7.12349,2.0881e-05,77.2,0.0419585,0.000497659,9.98125e-18,1.44095e-17,0.00346003,436656
23,-1.9377,1.42787,0.351236,2.72015e-05,13.537,0.0193859,0.00140316,8.68e-18,-3.35887e-18,0.00270251,418708,-17.5238,1.27409,5.37347,3.25011e-05,57.3343,0.0451392,0.000720018,2.11735e-16,1.73445e-16,0.00270102,418596
24,-1.18494,1.48909,0.16536,3.21552e-05,14.5385,0.0216935,0.00148225,-9.88051e-18,1.46006e-16,0.00332593,464270,-16.5691,1.27643,5.04005,2.54358e-05,54.6688,0.0389656,0.000652776,2.64668e-17,-1.01908e-16,0.00332593,464270
25,-0.651597,1.5134,0.124658,3.36997e-05,11.4279,0.0196565,0.00171443,2.11536e-17,1.01466e-17,0.00216794,327714,-7.64163,1.287,2.26398,4.35522e-05,26.2346,0.0352086,0.00123698,2.70765e-17,4.56378e-17,0.00216652,327548
26,-1.48194,1.4754,0.205535,2.47166e-05,15.5504,0.0196941,0.00125503,-1.07094e-17,-9.12011e-17,0.00325658,406130,-8.07878,1.29704,2.30077,6.95384e-05,28.8019,0.0464821,0.00149602,1.62542e-16,-5.70865e-16,0.00325651,406080
27,-2.35346,1.41662,0.429952,1.65581e-05,15.2082,0.0160585,0.00103111,4.34449e-17,6.16179e-17,0.00361885,476070,-16.663,1.27548,5.08586,2.64527e-05,54.7904,0.0397926,0.000664765,-1.55645e-16,-4.40801e-16,0.00361828,475860
28,-2.7683,1.39865,0.542043,2.13061e-05,15.983,0.0187294,0.00113758,1.58285e-17,9.11313e-17,0.00360774,483938,-21.5917,1.26863,6.74352,2.746e-05,69.2818,0.0456869,0.000601047,1.37797e-16,-7.07337e-17,0.00360774,483938
29,-0.689965,1.45854,0.235125,1.36979e-05,6.27774,0.00933044,0.00146808,1.00496e-18,-1.59188e-17,0.00115604,257236,-16.5968,1.28064,4.97212,1.24746e-05,55.601,0.0274849,0.000453871,-6.66573e-17,3.07236e-16,0.00115373,256954
30,-1.68511,1.49561,0.17129,1.79523e-05,22.4157,0.0201169,0.000892397,-6.00349e-18,9.79563e-17,0.00332635,464824,-18.7827,1.28507,5.53219,2.19116e-05,63.9513,0.0390151,0.000561618,-1.1325e-17,2.27212e-16,0.00332638,464826
