loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.7154,1.44834,0.489866,6.11732e-05,30.2209,0.0433207,0.0014121,-2.2676e-20,-1.97146e-16,0.00384845,20000,-4.08022,1.23804,1.48541,0.000143,11.8811,0.0435964,0.00328009,0,0,0.00192423,10000
2,0.575604,-1.42611,0.318143,2.05706e-05,4.18466,0.0093705,0.00219525,-8.20702e-19,-1.2894e-17,0.00165748,4994,-2.92034,1.25675,1.04813,1.63861e-05,9.09079,0.012826,0.00127757,0,0,0.000826618,2490
3,-0.509821,1.55665,0.0349467,1.37405e-05,36.0525,0.0222594,0.000617292,8.37921e-20,-8.2772e-18,0.00332063,18574,-7.25511,1.30815,1.98507,3.18118e-05,27.0199,0.0303579,0.00104789,0,0,0.00166032,9287
4,-0.945009,1.52188,0.097801,1.96391e-05,19.356,0.0195204,0.00100608,1.77365e-18,1.86689e-18,0.00384238,19984,-6.56752,1.31677,1.74215,5.17164e-05,25.3321,0.0373935,0.00138303,0,0,0.00192119,9992
